"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"	"<greek>m</greek><sub>t</sub>"
0	1.002198708156028e+00	-1.282514489768029e-03	9.847348290687371e-01	3.031138401933324e-02	-2.111374404571670e-02	2.483972436228467e+00	1.750434693352636e-06	9.933118297924253e-01	1.008709959748047e+00	-7.100571394146776e-01	3.156686613275916e-02	5.593944591411523e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.702882601598791e-06	
1	1.002611018249458e+00	-8.932373748929906e-04	9.834394354277719e-01	3.383122549110974e-02	-1.785460671532583e-02	2.483868495703513e+00	2.052512960391880e-06	9.932498021618122e-01	1.009975567768211e+00	-7.166423728329112e-01	3.271187008503439e-02	5.599328350341250e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.003217992128102e-06	
2	1.002291477145970e+00	-1.592869869462009e-03	9.855483976552845e-01	2.704449922226552e-02	-1.938104111936154e-02	2.484308699450107e+00	1.700910383924704e-06	9.934988272524372e-01	1.008067010829775e+00	-6.902043429975785e-01	2.841796398800867e-02	5.591208294005231e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.654358817973079e-06	
3	1.001805011121819e+00	-1.525938364182301e-03	9.864269300942623e-01	2.489013088628114e-02	-2.237204588973403e-02	2.484297073948664e+00	1.606785022673728e-06	9.934917418918411e-01	1.007162022428670e+00	-6.909565683029257e-01	2.857167145782273e-02	5.587355351543388e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.560508384870832e-06	
4	1.002470452896099e+00	-1.983985804163974e-03	9.861746739684374e-01	2.376615357748231e-02	-1.651430114349309e-02	2.484182050073958e+00	1.694717806500707e-06	9.935029612367674e-01	1.007431023592241e+00	-6.897654538848949e-01	2.471043655027571e-02	5.588500786742239e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.649218634912239e-06	
5	1.002686080985532e+00	-2.478811347923343e-03	9.868279705649646e-01	2.008076617677488e-02	-1.325119931211489e-02	2.484123587021665e+00	1.914843530070430e-06	9.935321232871603e-01	1.006793638731539e+00	-6.866694318880227e-01	2.053526735145613e-02	5.585786492973473e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.872311756087524e-06	
6	1.002759307830878e+00	-1.438835209459543e-03	9.844112859991757e-01	2.985138244617337e-02	-1.672806027156856e-02	2.484113957656307e+00	1.845973459913933e-06	9.934076879771960e-01	1.009138865132869e+00	-6.998802470277702e-01	2.924488790171158e-02	5.595769477382810e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.798402413604600e-06	
7	1.003175426222859e+00	-1.022347348684288e-03	9.835508479129067e-01	3.242896705573819e-02	-1.389860784486803e-02	2.484091290214646e+00	2.110445028717091e-06	9.933833905444652e-01	1.009996984550848e+00	-7.024598113995641e-01	3.016688876485246e-02	5.599419426666579e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.061248223716976e-06	
8	1.003070838272717e+00	-1.981655344271377e-03	9.853229445087548e-01	2.603327533089500e-02	-1.387731570683263e-02	2.484173838396189e+00	1.792401076208580e-06	9.934928803195295e-01	1.008291632562000e+00	-6.908357058423715e-01	2.520006260290809e-02	5.592164348288796e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.746252136606208e-06	
9	1.003124001298349e+00	-6.257719669505403e-04	9.833537809082311e-01	3.430695619361154e-02	-1.366649404469574e-02	2.483709617301704e+00	2.292763527824271e-06	9.932064817792192e-01	1.010019487454340e+00	-7.212415301491405e-01	3.158109261929294e-02	5.599515120779131e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.242303110356925e-06	
