"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
346, 1.772810715458482e-03, -2.702931890971065e-02, 9.753545499309411e-01, -2.616512025337497e+00, -7.108117963103543e-05, -1.905150291184568e-04
418, 3.645682386023376e-03, -2.286167023702751e-02, 9.783190248488930e-01, -2.301785199497517e+00, -8.472353457201115e-05, -1.566397435910846e-04
497, 6.317071397390414e-03, -1.862773567047672e-02, 9.833808523199192e-01, -1.764390572456342e+00, -8.880872025858782e-05, -1.191756630542497e-04
645, 9.835137844882587e-03, -1.455581405413806e-02, 9.927842391081640e-01, -7.660693999316245e-01, -8.346242444529226e-05, -8.115898125387345e-05
789, 1.424138035236019e-02, -1.092212627558249e-02, 1.001808139102202e+00, 1.919631287373085e-01, -6.906509256136542e-05, -4.732655198108869e-05
936, 1.948043821382322e-02, -7.946414249478510e-03, 1.008199150213062e+00, 8.704720372284570e-01, -5.009083525704990e-05, -2.403456833186284e-05
1079, 2.546082614906927e-02, -5.538815431136469e-03, 1.011337798068905e+00, 1.203690129618794e+00, -3.263591260461635e-05, -1.138652831222372e-05
1080, 3.203755371556350e-02, -3.565291131744572e-03, 1.012245226432482e+00, 1.300028286105230e+00, -1.886717309715548e-05, -4.842260826847944e-06
1221, 3.916171245395839e-02, -2.022482342674777e-03, 1.012238441158111e+00, 1.299307919792624e+00, -8.210246918640885e-06, -1.470719653788322e-06
1355, 4.680417568812203e-02, -9.201135420431120e-04, 1.011781301917821e+00, 1.250775216347592e+00, -1.554466389202287e-07, -1.753159601155339e-08
1356, 5.490741045153565e-02, -2.466496959804207e-04, 1.011127931684990e+00, 1.181409428081973e+00, 5.639143534045160e-06, 3.177846196933031e-07
1471, 6.343256670888568e-02, 1.695196883497868e-05, 1.010395309343662e+00, 1.103629750261329e+00, 9.549977417549447e-06, 7.901862518555107e-08
1588, 7.237285643911417e-02, -1.021367332947887e-04, 1.009712902872998e+00, 1.031181297031345e+00, 1.204136626318028e-05, -3.782518191895371e-07
1707, 8.169831926581642e-02, -5.568246261558468e-04, 1.009128893527208e+00, 9.691792856302054e-01, 1.354984802311250e-05, -8.661371905161282e-07
1892, 6.353413518091157e-01, -8.343529419137403e-02, 1.005175739723318e+00, 5.494882498851139e-01, 9.561847638795482e-06, 4.430336347882241e-07
1883, 6.509436757422313e-01, -8.258011776346122e-02, 1.005107239160864e+00, 5.422158103516433e-01, 9.785387998874959e-06, 6.171625291708656e-07
1882, 6.663788378657320e-01, -8.147776594660651e-02, 1.005034725057288e+00, 5.345172686946019e-01, 1.003570996495246e-05, 7.981696504925805e-07
1881, 6.816223760623115e-01, -8.014015012813101e-02, 1.004954257641604e+00, 5.259743546802701e-01, 1.031365251662210e-05, 9.872520985265755e-07
1880, 6.966604904903797e-01, -7.857912019018271e-02, 1.004867506759101e+00, 5.167643493185521e-01, 1.062318387606007e-05, 1.185906366683730e-06
1879, 7.114798218994717e-01, -7.680705004021889e-02, 1.004769786531221e+00, 5.063897710231537e-01, 1.096519997944452e-05, 1.394933349263361e-06
1878, 7.260476641029290e-01, -7.484064313645056e-02, 1.004663795900343e+00, 4.951371560581396e-01, 1.134308097914052e-05, 1.615423096542755e-06
1877, 7.403628351635495e-01, -7.269368024145390e-02, 1.004547648298294e+00, 4.828062147840129e-01, 1.175826501193265e-05, 1.848491358180092e-06
1876, 7.544139676059348e-01, -7.038123804262020e-02, 1.004422246429757e+00, 4.694927838624742e-01, 1.221554805203497e-05, 2.096090399167997e-06
1875, 7.681698453684167e-01, -6.792221956922653e-02, 1.004286681044301e+00, 4.551003316949153e-01, 1.271713792584747e-05, 2.359928413101523e-06
1874, 7.816200112440748e-01, -6.533259299653384e-02, 1.004138146958886e+00, 4.393310428578192e-01, 1.326645836500058e-05, 2.641906235914410e-06
1873, 7.947643367020157e-01, -6.262614502075724e-02, 1.003973514971432e+00, 4.218527020799541e-01, 1.386080143670262e-05, 2.942649646070541e-06
1872, 8.075827638164247e-01, -5.982069781378191e-02, 1.003803793543125e+00, 4.038340350693491e-01, 1.450421796232493e-05, 3.263561894736668e-06
1871, 8.200664379766400e-01, -5.693297536548021e-02, 1.003630531021153e+00, 3.854394238526233e-01, 1.521627156895863e-05, 3.608948049419100e-06
1870, 8.321870529867161e-01, -5.398512889625481e-02, 1.003443013649620e+00, 3.655314304420485e-01, 1.600652500484789e-05, 3.982255716125613e-06
1869, 8.439566727036734e-01, -5.098933527042541e-02, 1.003230367593171e+00, 3.429556218331556e-01, 1.686916038769633e-05, 4.383355001613117e-06
1867, 8.553672813929958e-01, -4.796187890704322e-02, 1.003002807239097e+00, 3.187964199822780e-01, 1.780572248153152e-05, 4.813720081146818e-06
1866, 8.663810816600793e-01, -4.492696808407495e-02, 1.002766710330885e+00, 2.937309252256317e-01, 1.883011067947770e-05, 5.278473000370835e-06
