"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
541, 9.384269642969256e-01, -1.091311279183783e-02, 9.962612808923647e-01, -3.969253341722595e-01, -3.432734408499458e-06, -5.501310879419349e-07
544, 9.305677231125028e-01, -1.217100419390866e-02, 9.961654803105798e-01, -4.070961110731451e-01, -3.524474970487923e-06, -5.519776872834883e-07
545, 9.222801943325860e-01, -1.344190270143980e-02, 9.960808580514935e-01, -4.160801287271223e-01, -3.485767599353258e-06, -5.254403465922645e-07
550, 9.135915508948184e-01, -1.472997164071297e-02, 9.960214037337444e-01, -4.223921634805111e-01, -3.361738066767406e-06, -4.942273573539036e-07
551, 9.044857918230227e-01, -1.605795438462456e-02, 9.959818873601088e-01, -4.265874638919609e-01, -3.194803824212273e-06, -4.658462193561369e-07
552, 8.949768020173825e-01, -1.744425735775710e-02, 9.959481620345562e-01, -4.301679511470017e-01, -3.012094648655140e-06, -4.388761269699962e-07
553, 8.850745768663608e-01, -1.888625821756205e-02, 9.959197841720431e-01, -4.331807189524507e-01, -2.824516379837449e-06, -4.099799179203664e-07
556, 8.747809811172175e-01, -2.037569052418842e-02, 9.958976713087005e-01, -4.355283560492877e-01, -2.639802234745061e-06, -3.796710989060902e-07
557, 8.641183220290771e-01, -2.190030381473004e-02, 9.958818587943232e-01, -4.372071094866627e-01, -2.464595838782066e-06, -3.500194222468858e-07
558, 8.531070829848315e-01, -2.345379573834173e-02, 9.958737072381206e-01, -4.380725286520478e-01, -2.306313237486450e-06, -3.233288572411587e-07
567, 8.417266891779170e-01, -2.503945288774131e-02, 9.958719072363392e-01, -4.382636278729375e-01, -2.172809949159605e-06, -3.010085884925275e-07
570, 8.300162869193579e-01, -2.665266176595968e-02, 9.958723629536034e-01, -4.382152461351947e-01, -2.068046025165013e-06, -2.833254082988644e-07
571, 8.179854819540325e-01, -2.829203389820423e-02, 9.958692235893859e-01, -4.385485402809263e-01, -1.989645183892710e-06, -2.695532983409863e-07
