"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"	"<greek>m</greek><sub>t</sub>"
0	1.001812527949042e+00	-1.011089685334145e-05	1.001035007072210e+00	2.158502588746844e-01	1.109328953101406e-01	2.536038627863349e+00	2.792366476139672e-05	1.002648142089801e+00	1.001611467137707e+00	2.811429940760383e-01	2.047317918931082e-01	5.563687128999588e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.795248706340502e-05	
1	1.002224687234964e+00	3.573339457704704e-04	1.001460512447788e+00	2.289802754426778e-01	1.203336098398290e-01	2.532875381839095e+00	2.709593074953955e-05	9.997872405953797e-01	9.983291684179155e-01	-2.258784234545275e-02	2.184830479735785e-01	5.549660956145910e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.713542161387790e-05	
2	1.001896534466252e+00	-3.072223730339720e-04	9.934486712168645e-01	1.385984509443458e-01	7.441621085910478e-02	2.513358281814015e+00	3.183869938666220e-05	1.000361212742023e+00	1.006958126499572e+00	3.834855847873946e-02	1.333671226806132e-01	5.586487041853220e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.163005122845847e-05	
3	1.001437350303578e+00	-2.311466081724461e-04	9.991212713204141e-01	2.084752153651238e-01	1.095114594233429e-01	2.534027219211137e+00	2.684874880366220e-05	1.002510198156891e+00	1.003391907402790e+00	2.664980207332561e-01	1.988618900548172e-01	5.571286082980123e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.682507002784846e-05	
4	1.002054405828362e+00	-6.841375874383799e-04	9.862144123615826e-01	6.139981277388604e-02	5.502786037285871e-02	2.489490275015638e+00	3.485377140233559e-05	9.944175046359267e-01	1.008317757448607e+00	-5.926719216147117e-01	7.036498299209426e-02	5.592275536526251e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.437323870565096e-05	
5	1.002234359881824e+00	-1.165872156603771e-03	9.853788957131274e-01	1.029550629597275e-02	5.308322256807721e-02	2.483762776465553e+00	3.652932546638935e-05	9.929116686156606e-01	1.007644544586153e+00	-7.525407024311404e-01	4.620136492759089e-02	5.589409875354737e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.599517815392202e-05	
6	1.002354976203757e+00	-1.800501806417533e-04	9.927328903733791e-01	1.333887370248616e-01	6.916370712697015e-02	2.509371301249388e+00	3.405179343399114e-05	9.992002328853209e-01	1.006514685445256e+00	-8.490817847366086e-02	1.275024943290232e-01	5.584598310995014e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.380428076816892e-05	
7	1.002787813804715e+00	2.022703267657391e-04	9.966545564847129e-01	1.665828973133776e-01	7.873151081599278e-02	2.519214519973995e+00	3.394927036123567e-05	1.000873314683506e+00	1.004232919190851e+00	9.271643913562357e-02	1.559137702026438e-01	5.574873253551550e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.383564082951591e-05	
8	1.002633349558564e+00	-7.230485433065540e-04	9.864936843260422e-01	4.915616699790838e-02	4.848850366790704e-02	2.488177266298050e+00	3.860431078925833e-05	9.943043592786996e-01	1.007917612729567e+00	-6.046841261784817e-01	5.892137257934466e-02	5.590572355445822e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.808286566283953e-05	
9	1.002756099147913e+00	5.998295736723252e-04	1.001092773409196e+00	2.085091200894324e-01	1.064221912091072e-01	2.529617699094110e+00	2.926823822661781e-05	1.000898696551111e+00	9.998061349924402e-01	9.541113375988172e-02	1.976518642804887e-01	5.555975217058596e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.930015027840644e-05	
