VARIABLES="VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
          0               , -1.20808        , 0.001           
          1               , -1.17974        , 0.001           
          2               , -1.05044        , 0.001           
          3               , -0.888495       , 0.001           
          4               , -0.72075        , 0.001           
          5               , -0.560667       , 0.001           
          6               , -0.415407       , 0.001           
          7               , -0.288483       , 0.001           
          8               , -0.181028       , 0.001           
          9               , -0.0924928      , 0.001           
          10              , -0.0210946      , 0.001           
          11              , 0.0358587       , 0.001           
          12              , 0.0816416       , 0.001           
          13              , 0.119583        , 0.001           
          14              , 0.151858        , 0.001           
          15              , 0.176581        , 0.001           
          16              , 0.182204        , 0.001           
          17              , 0.149922        , 0.001           
          18              , 0.138522        , 0.001           
          19              , -0.202096       , 0.001           
          20              , -0.176103       , 0.001           
          21              , -0.153639       , 0.001           
          22              , -0.13789        , 0.001           
          23              , -0.127144       , 0.001           
          24              , -0.119612       , 0.001           
          25              , -0.114225       , 0.001           
          26              , -0.110584       , 0.001           
          27              , -0.108713       , 0.001           
          28              , -0.108833       , 0.001           
          29              , -0.11124        , 0.001           
          30              , -0.116329       , 0.001           
          31              , -0.12476        , 0.001           
          32              , -0.137787       , 0.001           
          33              , -0.157747       , 0.001           
          34              , -0.188426       , 0.001           
          35              , -0.23378        , 0.001           
          36              , -0.290262       , 0.001           
          37              , -0.356199       , 0.001           
