"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
93, -1.874601837404068e+00, -6.991423557019982e+01, 1.198211369263825e+00, 2.972516796479416e-01, 6.330983972651101e-05, 1.000000000000000e+00, -1.000000000000000e-03
70, -9.014392176000152e+00, -5.603543308472019e+01, 1.619300106038620e+00, -2.345516163364025e-02, -2.268142407284006e-04, 9.997621355856203e-01, -1.104660301901181e-03
108, -7.843900200950184e-02, -3.986980767898940e+01, 1.592751031218664e+00, -1.146075901224475e-02, -9.566041437241502e-05, 9.990485012488061e-01, -1.418595187952157e-03
168, -3.630850634828107e-01, -3.415642065865753e+01, 1.621933163237654e+00, 1.355163651220150e-02, -1.061308787733619e-04, 9.978686702132833e-01, -1.936953945863884e-03
226, -2.423401697880475e-02, -2.986774159039946e+01, 1.578687474445918e+00, 3.653599326729129e-03, -1.038901448858274e-04, 9.962132437955421e-01, -2.661432663269684e-03
290, -6.736338532692641e-02, -2.690121594397479e+01, 1.512615713053297e+00, -2.599922976844082e-02, -1.033886214796581e-04, 9.940822606931574e-01, -3.586198642727912e-03
359, -4.579627844243874e-02, -2.450945285324531e+01, 1.430241834700128e+00, -6.482768014850801e-02, -1.005516405184785e-04, 9.914853571674017e-01, -4.696852004967901e-03
394, -4.442308519209304e-02, -2.254159448806984e+01, 1.344859453433168e+00, -1.049311038634688e-01, -9.614731188956636e-05, 9.884321728242919e-01, -5.975250263063394e-03
395, -4.188370740172852e-02, -2.085520032978575e+01, 1.261575840427432e+00, -1.432085164505091e-01, -9.096813581950708e-05, 9.849038280601278e-01, -7.413771613515381e-03
396, -3.752627073868305e-02, -1.942134646088718e+01, 1.184254286127645e+00, -1.777562233652836e-01, -8.543114126225891e-05, 9.809288756219902e-01, -8.988621740564274e-03
470, -3.362719969429537e-02, -1.819586219205819e+01, 1.113745640041649e+00, -2.075475988836951e-01, -7.991351454256281e-05, 9.764883938926089e-01, -1.070358030159697e-02
471, -2.976205484431344e-02, -1.713979142585712e+01, 1.050116104086490e+00, -2.333040592840553e-01, -7.464321947181829e-05, 9.716109697805432e-01, -1.255525177834857e-02
516, -2.335539418374316e-02, -1.623609590599878e+01, 9.934323856648273e-01, -2.555818373844815e-01, -6.983216640572452e-05, 9.662775255275239e-01, -1.456889406570545e-02
521, -1.905188751645904e-02, -1.542939101593657e+01, 9.423429122431284e-01, -2.757587713075396e-01, -6.556558607571065e-05, 9.605069335344338e-01, -1.676039340314389e-02
537, -1.384024179680160e-02, -1.471003917922420e+01, 8.965157548539617e-01, -2.942807120605845e-01, -6.172027828754233e-05, 9.542990465612926e-01, -1.915056463992562e-02
469, 1.208831223986975e-01, -1.349981111183255e+01, 3.321451989578356e-01, -4.878361640169015e-01, 7.072536995165676e-05, 9.922119222715451e-01, -2.800623477925074e-03
393, 8.520461770188001e-02, -1.600769207724367e+01, 3.145829404162777e-01, -4.994332720228583e-01, 1.010521473964146e-04, 9.948726051760148e-01, -1.868841437968549e-03
325, 6.805161387149058e-01, -2.023392445874978e+01, 2.938057091097794e-01, -5.146110526569303e-01, 1.299283289150294e-04, 9.970564384455434e-01, -1.080505494666439e-03
259, 9.314034988270850e+00, -2.679156962308025e+01, 2.762886431110470e-01, -5.088514459875186e-01, 2.398040773838436e-04, 9.987533013274225e-01, -4.587899463062358e-04
196, 1.754305508067991e+03, -3.677613550344881e+01, -6.379451623149243e-02, -5.622950946148336e-01, 3.736410431331959e-04, 9.999628926939207e-01, -1.365582377895656e-05
135, -1.387947915706825e+03, -1.396619737641192e+02, 4.951023245553906e-01, 5.174046981262813e-01, -7.577669416074669e-04, 1.000000000000000e+00, 0.000000000000000e+00
538, -9.950234531230059e-03, -1.403848329833866e+01, 8.545191844586676e-01, -3.115794333541286e-01, -5.824460378092136e-05, 9.476630050780430e-01, -2.174825545381644e-02
541, -8.784406269856644e-03, -1.339450550961999e+01, 8.156035280282969e-01, -3.281020212900893e-01, -5.502633070820251e-05, 9.406073032709968e-01, -2.455014787346342e-02
544, -5.828099626910815e-03, -1.278645842975678e+01, 7.794808514717522e-01, -3.430044769875400e-01, -5.182947228627820e-05, 9.331391429429394e-01, -2.754142113318638e-02
545, -7.274314071028358e-03, -1.217693847872233e+01, 7.451934413957975e-01, -3.572329823670651e-01, -4.888288859931029e-05, 9.252458505652166e-01, -3.070943165031977e-02
550, -4.260880621349332e-03, -1.162063457289410e+01, 7.137626150401959e-01, -3.694073219309348e-01, -4.580005818739592e-05, 9.169519941343894e-01, -3.402557096846794e-02
551, -4.858838391248373e-03, -1.106838865862105e+01, 6.841390444327768e-01, -3.805361955338026e-01, -4.308727477345935e-05, 9.082431930377265e-01, -3.747873934095435e-02
