"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Surface_Sensitivity"	"Solution_Sensor"
0	1.002198156458936e+00	-1.286121781636739e-03	3.602417109771967e+01	-7.059676938079563e+00	-1.913330188486210e+01	1.901480574531200e-03	0.000000000000000e+00	0.000000000000000e+00	
1	1.002611223529809e+00	-8.976443677231303e-04	4.895483424311804e+01	-5.322032033033296e+00	-1.879285891934904e+01	1.654366167448761e-03	0.000000000000000e+00	0.000000000000000e+00	
2	1.002290356020835e+00	-1.596631985166222e-03	4.560113521427054e+01	-8.518326566972592e+00	-1.868078380182701e+01	1.902600754209007e-03	0.000000000000000e+00	0.000000000000000e+00	
3	1.001804038649062e+00	-1.528816617220231e-03	1.684261692958424e+01	-8.867321872929834e+00	-1.900834404026141e+01	2.086385595094666e-03	0.000000000000000e+00	0.000000000000000e+00	
4	1.002468592296371e+00	-1.988029938811665e-03	6.387208401036140e+01	-9.304868214929918e+00	-1.790454850510341e+01	1.813178138198082e-03	0.000000000000000e+00	0.000000000000000e+00	
5	1.002683250688899e+00	-2.483155349392556e-03	8.243001688838778e+01	-1.005086432233604e+01	-1.686389077973419e+01	1.683214901922426e-03	0.000000000000000e+00	0.000000000000000e+00	
6	1.002758450742010e+00	-1.443512547202320e-03	6.481821595945117e+01	-7.319719089393324e+00	-1.836543072591677e+01	1.711339295288371e-03	0.000000000000000e+00	0.000000000000000e+00	
7	1.003175396232222e+00	-1.027913148229461e-03	6.635356196620693e+01	-5.754890021513172e+00	-1.794244603708875e+01	1.496919806830676e-03	0.000000000000000e+00	0.000000000000000e+00	
8	1.003068885449867e+00	-1.986874438968373e-03	8.219872562549747e+01	-8.495016022364963e+00	-1.720864438340685e+01	1.596701186347415e-03	0.000000000000000e+00	0.000000000000000e+00	
9	1.003124795497382e+00	-6.312415955467465e-04	6.027631453750936e+01	-4.322839670547371e+00	-1.798966719992476e+01	1.659595970812671e-03	0.000000000000000e+00	0.000000000000000e+00	
10	1.002157749966032e+00	-9.440978356565434e-04	2.476263113779600e+01	-5.445800420726504e+00	-1.941512571404733e+01	2.021433283294418e-03	0.000000000000000e+00	0.000000000000000e+00	
11	1.001763971105934e+00	-1.150388187649735e-03	3.360169209795354e+00	-6.960919521191800e+00	-1.956524180524256e+01	2.054979883306002e-03	0.000000000000000e+00	0.000000000000000e+00	
12	1.002636248215500e+00	-3.411713565893835e-04	4.518712135669526e+01	-3.040971053730868e+00	-1.846671580168190e+01	1.532209287805024e-03	0.000000000000000e+00	0.000000000000000e+00	
13	1.002142091440114e+00	-6.052013929766023e-04	2.692150549763495e+01	-3.738565243012019e+00	-1.930790032843062e+01	1.949318469513230e-03	0.000000000000000e+00	0.000000000000000e+00	
14	1.001396686785666e+00	-1.356824772147348e-03	-3.287733265656340e+01	-8.643842075609342e+00	-1.882333316083969e+01	2.549318229156643e-03	0.000000000000000e+00	0.000000000000000e+00	
15	1.001941549542207e+00	-1.946783285169452e-03	3.644885920243578e+01	-1.020814556000679e+01	-1.826029498723962e+01	1.981112595630365e-03	0.000000000000000e+00	0.000000000000000e+00	
16	1.001497895718787e+00	-1.774250925834139e-03	-7.702791841304462e+00	-1.071176866787029e+01	-1.805694030878659e+01	2.349604964191425e-03	0.000000000000000e+00	0.000000000000000e+00	
17	1.002114706064101e+00	-2.381542467595807e-03	5.827799525581541e+01	-1.105645122459376e+01	-1.725310945296258e+01	1.902283347675469e-03	0.000000000000000e+00	0.000000000000000e+00	
18	1.002295498111715e+00	-2.870120457801700e-03	8.057217588078539e+01	-1.146721868032694e+01	-1.619331437588508e+01	1.764942687698506e-03	0.000000000000000e+00	0.000000000000000e+00	
19	1.002913918782680e+00	-3.002594960519165e-03	9.995582135606253e+01	-1.042538488510651e+01	-1.575600685793397e+01	1.560599417125718e-03	0.000000000000000e+00	0.000000000000000e+00	
20	1.003328484973069e+00	-2.543199294742642e-03	9.863796381282314e+01	-9.170136447799544e+00	-1.622040386952339e+01	1.477469999133534e-03	0.000000000000000e+00	0.000000000000000e+00	
21	1.003366418205879e+00	-1.527405996911617e-03	8.080184736715923e+01	-6.896795533954381e+00	-1.730133909784579e+01	1.561677046670974e-03	0.000000000000000e+00	0.000000000000000e+00	
22	1.003708343664756e+00	-7.493283597016273e-04	7.218463486356183e+01	-4.994866272506661e+00	-1.698778042840631e+01	1.383736789048559e-03	0.000000000000000e+00	0.000000000000000e+00	
23	1.003724587248189e+00	-2.040549296910573e-03	9.505623210227795e+01	-7.825412500894962e+00	-1.633475220205791e+01	1.395320801237372e-03	0.000000000000000e+00	0.000000000000000e+00	
24	1.003178175317562e+00	-1.087642405587927e-04	5.969022968367564e+01	-2.961020507045507e+00	-1.743111615142251e+01	1.473522455060819e-03	0.000000000000000e+00	0.000000000000000e+00	
25	1.002793182936089e+00	2.361235171099821e-04	5.010197526428305e+01	-1.278181888193867e+00	-1.737122563011544e+01	1.528211348208516e-03	0.000000000000000e+00	0.000000000000000e+00	
26	1.001745895691999e+00	-8.044838361474735e-04	-2.694938312315753e+00	-4.835611881321778e+00	-1.975339561846265e+01	1.906746548195361e-03	0.000000000000000e+00	0.000000000000000e+00	
27	1.001384070734580e+00	-9.959840788738485e-04	-4.498289215216412e+01	-6.050508384564051e+00	-1.936692384667326e+01	2.601101093211359e-03	0.000000000000000e+00	0.000000000000000e+00	
28	1.002337467732037e+00	5.839202181516806e-04	5.183887623544481e+01	6.758688944611337e-01	-1.702069980780157e+01	1.675832254453726e-03	0.000000000000000e+00	0.000000000000000e+00	
29	1.002260469635184e+00	9.583310519493335e-05	4.154757940143084e+01	-7.701796517714854e-01	-1.819105658208567e+01	1.787528322280499e-03	0.000000000000000e+00	0.000000000000000e+00	
30	1.002174481092983e+00	-2.970126212795714e-04	3.067164616151106e+01	-1.939275323370666e+00	-1.898530802340001e+01	1.977032651866436e-03	0.000000000000000e+00	0.000000000000000e+00	
31	1.001742428261071e+00	-4.407127936855934e-04	2.027173801311270e+00	-2.574860246206633e+00	-1.937687718206066e+01	1.798633197904403e-03	0.000000000000000e+00	0.000000000000000e+00	
32	1.001041551185745e+00	-1.161572934714125e-03	-1.103546895487853e+02	-8.245944580515559e+00	-1.798336442793773e+01	2.682864197922454e-03	0.000000000000000e+00	0.000000000000000e+00	
33	1.003588048457318e+00	-3.186386783565207e-03	1.092681305291554e+02	-9.553465402307392e+00	-1.514248492691400e+01	1.462792045566292e-03	0.000000000000000e+00	0.000000000000000e+00	
34	1.001097931392128e+00	-1.591518574846344e-03	-6.867232044078466e+01	-1.083586282703490e+01	-1.734229960100688e+01	2.619599900168288e-03	0.000000000000000e+00	0.000000000000000e+00	
35	1.000729138310554e+00	-1.401201491809380e-03	-1.571293591210909e+02	-1.039920788244194e+01	-1.570355066555420e+01	3.142242050855369e-03	0.000000000000000e+00	0.000000000000000e+00	
36	1.001593676226232e+00	-2.240635400691340e-03	1.948835493408277e+01	-1.194043505417234e+01	-1.705148036469568e+01	2.248912001283060e-03	0.000000000000000e+00	0.000000000000000e+00	
37	1.001149061426779e+00	-2.064534597611582e-03	-3.377869760181895e+01	-1.266345934777955e+01	-1.623959603440521e+01	2.461967866337561e-03	0.000000000000000e+00	0.000000000000000e+00	
38	1.001732102021277e+00	-2.758115756015201e-03	4.950582970975101e+01	-1.259150036743231e+01	-1.608334060764938e+01	2.005715848042997e-03	0.000000000000000e+00	0.000000000000000e+00	
39	1.001938170922216e+00	-3.259403632276900e-03	7.604353179827339e+01	-1.272754034457651e+01	-1.504174689117251e+01	1.820746340118763e-03	0.000000000000000e+00	0.000000000000000e+00	
40	1.002528896607290e+00	-3.436485685007403e-03	1.019046614574527e+02	-1.156903524206447e+01	-1.506753513540182e+01	1.656958343898116e-03	0.000000000000000e+00	0.000000000000000e+00	
41	1.003398199035261e+00	-3.610215689671923e-03	1.158923520659067e+02	-1.045901890256671e+01	-1.461740934813300e+01	1.338304910799793e-03	0.000000000000000e+00	0.000000000000000e+00	
42	1.004046662338705e+00	-2.651942034018433e-03	1.083855414165592e+02	-8.546294757040574e+00	-1.526635174283021e+01	1.355602993833829e-03	0.000000000000000e+00	0.000000000000000e+00	
43	1.003833919537937e+00	-6.968209825073312e-06	6.678087512303063e+01	-3.279058791540410e+00	-1.641476208436820e+01	1.406089259089276e-03	0.000000000000000e+00	0.000000000000000e+00	
44	1.004047414748864e+00	-1.427304541259662e-03	8.737202308972878e+01	-6.330724540824360e+00	-1.624249865173092e+01	1.288888978786879e-03	0.000000000000000e+00	0.000000000000000e+00	
45	1.004427917828421e+00	-6.338115891032933e-04	7.801445021074986e+01	-4.800891955714734e+00	-1.585194090444047e+01	1.282945788656680e-03	0.000000000000000e+00	0.000000000000000e+00	
46	1.004477331821963e+00	-2.032883297961921e-03	1.012119013653150e+02	-7.239868099231840e+00	-1.536403741152670e+01	1.276862525950377e-03	0.000000000000000e+00	0.000000000000000e+00	
47	1.003366266986628e+00	4.618205856912773e-04	5.829452003911591e+01	-1.536749149236359e+00	-1.651422715339933e+01	1.455106465493669e-03	0.000000000000000e+00	0.000000000000000e+00	
48	1.002879177208050e+00	8.024450946427397e-04	5.558568679845953e+01	1.201883754795043e-01	-1.635259911832155e+01	1.516436082062050e-03	0.000000000000000e+00	0.000000000000000e+00	
49	1.004043771652083e+00	6.807088122222632e-04	6.159944308511648e+01	-1.821334328206699e+00	-1.557908070872656e+01	1.266602567133139e-03	0.000000000000000e+00	0.000000000000000e+00	
50	1.002401989703490e+00	1.091586881816432e-03	5.313751246616024e+01	1.809176093322832e+00	-1.567661866685079e+01	1.461403205223054e-03	0.000000000000000e+00	0.000000000000000e+00	
51	1.001384887929359e+00	-6.450804758858146e-04	-3.158782847915233e+01	-3.068988237512663e+00	-1.950815765176269e+01	2.662005715687586e-03	0.000000000000000e+00	0.000000000000000e+00	
52	1.001052376147899e+00	-8.449540577723668e-04	-1.274867070974277e+02	-5.503549032203308e+00	-1.830270530299690e+01	2.369069330286767e-03	0.000000000000000e+00	0.000000000000000e+00	
53	1.001920395505634e+00	8.250251884654897e-04	5.099187643609242e+01	2.528505910664015e+00	-1.601602909001684e+01	1.492551287652037e-03	0.000000000000000e+00	0.000000000000000e+00	
54	1.001877241140775e+00	3.695855734599502e-04	4.553907228413748e+01	1.297245672680213e+00	-1.739826638287385e+01	1.682418913169037e-03	0.000000000000000e+00	0.000000000000000e+00	
55	1.001807330049681e+00	-4.172502857583774e-05	2.591834137053236e+01	-4.074167568995611e-01	-1.867725721390623e+01	1.774014255738593e-03	0.000000000000000e+00	0.000000000000000e+00	
56	1.001447634808996e+00	-2.558325658022609e-04	7.553023508379942e+00	-1.835009476364955e-01	-1.891876260698647e+01	2.450558432574986e-03	0.000000000000000e+00	0.000000000000000e+00	
57	1.000704255755227e+00	-9.945369815086576e-04	-2.434064720977303e+02	-6.187423993014768e+00	-1.578910462335884e+01	3.917402905656069e-03	0.000000000000000e+00	0.000000000000000e+00	
58	1.000350706315154e+00	-1.274899816787361e-03	-2.661045130313293e+02	-9.472115565312198e+00	-1.333707694404137e+01	3.151358576127049e-03	0.000000000000000e+00	0.000000000000000e+00	
59	3.124498051550219e-03	-5.058856178008488e-02	6.057297752621812e+02	-3.980299884859019e+00	1.063467809644242e+01	2.388971116538262e-03	-5.603479204456152e+02	0.000000000000000e+00	
60	2.537646184044878e-03	-4.913743871119854e-02	6.215323686917649e+02	-3.561367071223341e+00	1.090169187872116e+01	2.490446981888395e-03	-8.230866399006585e+02	0.000000000000000e+00	
61	2.003080565366857e-03	-4.767385651319102e-02	6.080906074760742e+02	-2.971658281424667e+00	1.094512942535452e+01	2.454531643481667e-03	5.160890076293875e+01	0.000000000000000e+00	
62	1.004442189274976e+00	-3.647624746800352e-03	1.209108631643845e+02	-9.149435823498722e+00	-1.405728098147811e+01	1.197667263154000e-03	0.000000000000000e+00	0.000000000000000e+00	
63	1.000736508798419e+00	-1.891932922973053e-03	-1.009694210781935e+02	-1.319295267095769e+01	-1.456611782561325e+01	2.926644235719420e-03	0.000000000000000e+00	0.000000000000000e+00	
64	1.000392443781386e+00	-1.641872313451600e-03	-1.424195773200357e+02	-1.311280106927435e+01	-1.318583106870792e+01	3.614190939284630e-03	0.000000000000000e+00	0.000000000000000e+00	
65	1.001203377242131e+00	-2.532536490920213e-03	4.466312812610426e+00	-1.359809023050409e+01	-1.528934912555234e+01	2.165404847725643e-03	0.000000000000000e+00	0.000000000000000e+00	
66	1.000759039155121e+00	-2.351481368123045e-03	-5.573734080889113e+01	-1.402406563718186e+01	-1.385853059628010e+01	2.648098882346025e-03	0.000000000000000e+00	0.000000000000000e+00	
67	1.001352213206465e+00	-3.178971153674342e-03	4.300993317412064e+01	-1.385383893050457e+01	-1.439645799046612e+01	2.171017491137264e-03	0.000000000000000e+00	0.000000000000000e+00	
68	1.001624776934027e+00	-3.714217580765242e-03	7.314334572079167e+01	-1.357048419403753e+01	-1.389028207780700e+01	1.786568601312154e-03	0.000000000000000e+00	0.000000000000000e+00	
69	1.000048858597664e+00	-1.488542997596146e-03	-1.979585189469379e+02	-1.370022360781782e+01	-8.817365532452296e+00	4.331279730863981e-03	0.000000000000000e+00	0.000000000000000e+00	
70	9.997621355856203e-01	-1.104661405578656e-03	-3.016076885530408e+02	-1.169168819123332e+01	-3.650361502169643e+00	6.140074948580392e-03	-1.870979454868100e+05	0.000000000000000e+00	
71	1.002250452586692e+00	-3.805000977763426e-03	9.937739062952647e+01	-1.252558139890331e+01	-1.422583569487627e+01	1.625209326065703e-03	0.000000000000000e+00	0.000000000000000e+00	
72	1.002910650863259e+00	-4.129315133696915e-03	1.187710248915861e+02	-1.150651871407118e+01	-1.395697941945183e+01	1.484626646752379e-03	0.000000000000000e+00	0.000000000000000e+00	
73	1.003940635223959e+00	-4.402792152575122e-03	1.300508244752143e+02	-1.022381298639219e+01	-1.332900063060699e+01	1.304847699463126e-03	0.000000000000000e+00	0.000000000000000e+00	
74	1.004989099164215e+00	-2.864785672113691e-03	1.121208421701249e+02	-7.920281999788440e+00	-1.424351991520869e+01	1.184318677180963e-03	0.000000000000000e+00	0.000000000000000e+00	
75	1.004599867995003e+00	1.482791092731890e-04	7.015740777543235e+01	-3.358440698277174e+00	-1.538594362096532e+01	1.218443390286999e-03	0.000000000000000e+00	0.000000000000000e+00	
76	1.004844978132539e+00	-1.323503023754132e-03	9.076807133048955e+01	-5.952303723535904e+00	-1.522241131139823e+01	1.221384215194935e-03	0.000000000000000e+00	0.000000000000000e+00	
77	1.005246560166890e+00	-4.921035844953573e-04	7.972010818669966e+01	-4.650670745626745e+00	-1.483515147794861e+01	1.141302254203780e-03	0.000000000000000e+00	0.000000000000000e+00	
78	1.005384898417422e+00	-2.040619558957002e-03	1.023071174275404e+02	-6.751902196761587e+00	-1.438291892323271e+01	1.134732993171465e-03	0.000000000000000e+00	0.000000000000000e+00	
79	1.005600463521588e+00	-3.671420180450524e-03	1.220240780073244e+02	-8.175637525106042e+00	-1.310373636903149e+01	1.072424430051850e-03	0.000000000000000e+00	0.000000000000000e+00	
80	1.004855544600699e+00	9.844693936604376e-04	6.412057399046589e+01	-2.040289761979453e+00	-1.459569649959366e+01	1.224042839527332e-03	0.000000000000000e+00	0.000000000000000e+00	
81	1.003475123587697e+00	1.104840367261046e-03	5.745392645826257e+01	-1.883080621289897e-01	-1.542640921302668e+01	1.415712617823994e-03	0.000000000000000e+00	0.000000000000000e+00	
82	1.002920828687804e+00	1.439013701293875e-03	5.338648726942488e+01	1.112910023230224e+00	-1.513899852325796e+01	1.284927853413408e-03	0.000000000000000e+00	0.000000000000000e+00	
83	1.004231597866220e+00	1.592033145700588e-03	5.763008073496052e+01	-5.020714903933846e-01	-1.442400084161538e+01	1.235742824169615e-03	0.000000000000000e+00	0.000000000000000e+00	
84	1.002633566261744e+00	1.745848758913730e-03	4.094101704948447e+01	2.501852449476450e+00	-1.424247604721073e+01	1.258336516029738e-03	0.000000000000000e+00	0.000000000000000e+00	
85	1.001966447920396e+00	1.357329488824937e-03	3.357329948882573e+01	3.303738931355081e+00	-1.448127219790866e+01	1.063345575282087e-03	0.000000000000000e+00	0.000000000000000e+00	
86	1.001117871631166e+00	-4.458293430449254e-04	-7.837138739519001e+01	-2.049775558421976e+00	-1.861945291416633e+01	1.804043711136324e-03	0.000000000000000e+00	0.000000000000000e+00	
