"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"
0	1.002197068123473e+00	-1.322933720239824e-03	1.291005927461952e-01	7.844393274328997e-01	2.043538454350202e+00	2.782226889655020e+04	1.112148482821906e+04	3.000992311432536e+02	9.055073295599488e-02	4.882266040377379e-02	1.846385748845886e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1	1.002618360751945e+00	-9.417048163639857e-04	1.290566345620993e-01	6.010220024850421e-01	1.677711116647018e+00	2.781176551459128e+04	1.111978442548919e+04	3.001555495664059e+02	7.430477743255938e-02	3.975885916360671e-02	1.846652177619270e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
2	1.002283857958084e+00	-1.635493408187016e-03	1.289449272018510e-01	9.543012066861279e-01	2.008350934715684e+00	2.778888886324308e+04	1.110788690043101e+04	3.000941525709696e+02	-3.936633091066954e-02	4.965518140271152e-02	1.846361722158361e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
3	1.001798085821316e+00	-1.558840965288915e-03	1.289104465739918e-01	9.097567424920640e-01	2.597383059290534e+00	2.778374502364314e+04	1.110174712923227e+04	3.000085026173358e+02	-9.802681649248807e-02	6.148377415911004e-02	1.845956483049077e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
4	1.002455192825593e+00	-2.030317786760641e-03	1.289514231939198e-01	1.154549802293263e+00	1.930258739817319e+00	2.779105666832468e+04	1.110857648165264e+04	3.000976641826366e+02	-3.277794707695630e-02	5.022513008623564e-02	1.846378335588028e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
5	1.002660798123064e+00	-2.529219049773187e-03	1.289600571919783e-01	1.455315270187308e+00	1.860578591639431e+00	2.779444441630954e+04	1.110912439686378e+04	3.000923732718963e+02	-2.754306595470108e-02	5.274407711048572e-02	1.846353304260924e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
6	1.002755422772129e+00	-1.491133977460398e-03	1.288979410154954e-01	9.772787767331985e-01	1.704495939245767e+00	2.777812806757077e+04	1.110526140254555e+04	3.001325864811510e+02	-6.445081303062061e-02	4.388980383711006e-02	1.846543547781806e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
7	1.003181293940499e+00	-1.083630226018790e-03	1.289592045348888e-01	8.360650109651815e-01	1.537079660353167e+00	2.779068159341926e+04	1.111152444029891e+04	3.001591905801704e+02	-4.612616469675436e-03	3.906596253126047e-02	1.846669401533067e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
8	1.003055713655621e+00	-2.040733380029784e-03	1.289618102803462e-01	1.247460529722655e+00	1.689077662872116e+00	2.779317024650817e+04	1.111043019656879e+04	3.001235671346959e+02	-1.506721917001254e-02	4.688317163943954e-02	1.846500879493155e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
9	1.003138729317244e+00	-6.853513163673648e-04	1.289256682871463e-01	4.756789906400344e-01	1.501275807152124e+00	2.778266633244899e+04	1.110921920050620e+04	3.001749798446963e+02	-2.663729479169649e-02	3.516892352834895e-02	1.846744091897905e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
10	1.002162726410236e+00	-9.795513837373769e-04	1.288520762500639e-01	5.768157466590341e-01	1.998302819791616e+00	2.776880862045391e+04	1.110080887952101e+04	3.001190409312686e+02	-1.069910240953913e-01	4.647856715328984e-02	1.846479466913352e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
11	1.001764233399809e+00	-1.179127577582874e-03	1.287848491316683e-01	6.828863161723806e-01	2.661106671255658e+00	2.775670832140231e+04	1.109096172856293e+04	3.000093420042667e+02	-2.010724870848832e-01	6.143697577048223e-02	1.845960454747804e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
12	1.002654524522259e+00	-3.845659566579358e-04	1.290655292610971e-01	-2.766014190117203e-01	1.412492197056505e+00	2.781204770254418e+04	1.112160886282292e+04	3.001841075155956e+02	9.173578201657324e-02	3.210734921379592e-02	1.846787269038597e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
13	1.002153225972958e+00	-6.395167806788790e-04	1.290449336346017e-01	-1.451820245916377e-02	1.858868295934759e+00	2.781024935504018e+04	1.111874408484689e+04	3.001546812676362e+02	6.436517459186783e-02	4.147625171877862e-02	1.846648070093507e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
14	1.001392816689180e+00	-1.379688783361102e-03	1.290312094991509e-01	9.437468735331866e-01	3.767827121974726e+00	2.781702134129833e+04	1.110342321843860e+04	2.997729700483868e+02	-8.201315677467215e-02	8.672896790046412e-02	1.844841807818368e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
15	1.001928708779452e+00	-1.979481529887053e-03	1.288868675762933e-01	1.137272364588630e+00	2.378700771535539e+00	2.777865817788416e+04	1.110067612747877e+04	3.000344396303191e+02	-1.082593611404534e-01	5.891142120460032e-02	1.846079205837054e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
16	1.001487669407182e+00	-1.799252295089598e-03	1.289740457881021e-01	1.137602659431657e+00	3.107763247119525e+00	2.780106313343376e+04	1.110344147629810e+04	2.999063281881310e+02	-8.183871787966608e-02	7.391104128012226e-02	1.845472987358018e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
17	1.002094407651832e+00	-2.417212800995083e-03	1.288515488119173e-01	1.448000965010850e+00	2.164742849849711e+00	2.777183624780468e+04	1.109820638601312e+04	3.000499086987865e+02	-1.318557182272206e-01	5.820628172069420e-02	1.846152396356484e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
