"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
559, 1.111220214405842e-01, 1.966586857664216e+02, -7.230595682046624e+00, -9.231481294997695e-01, 8.510931517090379e-04, 5.669902863080678e-01, -1.500079983357589e-01
555, 3.953497339017843e-02, 2.038811507086683e+02, -7.344449693262830e+00, -8.710651730412057e-01, 8.721122710149627e-04, 5.509981481232903e-01, -1.539468208264097e-01
554, 1.033694926413696e-01, 2.102604588712442e+02, -7.443026511394156e+00, -8.052392972294233e-01, 8.956109392775882e-04, 5.349280422289686e-01, -1.577259564348761e-01
549, 3.619010319944769e-02, 2.178079967406247e+02, -7.555609647390209e+00, -7.333146696385826e-01, 9.179310774861821e-04, 5.188115378527824e-01, -1.613210662087059e-01
548, 9.075958397416362e-02, 2.243547900943098e+02, -7.646407785978278e+00, -6.484227773268411e-01, 9.407492035173221e-04, 5.026497511328263e-01, -1.647151925551217e-01
547, 4.645975963022828e-02, 2.313199584198042e+02, -7.741621132326990e+00, -5.544308799783395e-01, 9.624906322236860e-04, 4.864746862420334e-01, -1.678869011056355e-01
546, 7.353897606391098e-02, 2.377351990512060e+02, -7.827473899383599e+00, -4.584676838251064e-01, 9.841935486144106e-04, 4.702995377529798e-01, -1.708303984540958e-01
543, 5.555648255417255e-02, 2.445995937081138e+02, -7.921354334887047e+00, -3.561232968010264e-01, 1.007295739205953e-03, 4.541381176622994e-01, -1.735445156821186e-01
542, 3.401227822341350e-02, 2.519795494642913e+02, -8.021078103958706e+00, -2.585445881443023e-01, 1.031095915518442e-03, 4.380247555402706e-01, -1.760253933111869e-01
142, -2.887191198622014e-01, 4.577647063482761e+02, -5.479403748113891e+00, 8.491745522947287e+00, 1.890068889551813e-03, 2.196161454589945e-02, -9.132345241148940e-02
141, -2.782131478554247e-01, 4.495323397993407e+02, -5.060665759204870e+00, 8.637132899694521e+00, 1.870840911305656e-03, 1.843144503504924e-02, -8.647147961563287e-02
140, -2.435348924394318e-01, 4.390775893924986e+02, -4.624133988445178e+00, 8.744048062525692e+00, 1.843066769497411e-03, 1.529737814623708e-02, -8.172034984085984e-02
139, -2.061487371184345e-01, 4.271339288281723e+02, -4.187506169479550e+00, 8.810734275240543e+00, 1.808009283388548e-03, 1.251908921820435e-02, -7.706218702859076e-02
138, -2.214102197490134e-01, 4.152863945559532e+02, -3.762978413285646e+00, 8.850970764357413e+00, 1.770631535198764e-03, 1.006239962634175e-02, -7.249739048682835e-02
137, -1.363404219418684e-01, 4.032825549696034e+02, -3.340495033575484e+00, 8.870364243255370e+00, 1.736070170511295e-03, 7.917903259379869e-03, -6.805490282765173e-02
95, -2.932131880621659e-01, 3.907414403201716e+02, -2.925554728956398e+00, 8.856760970345963e+00, 1.697671461489140e-03, 6.075661641799378e-03, -6.376402203687105e-02
94, -5.343173314103156e-02, 3.760171429000405e+02, -2.480440523438712e+00, 8.801695671802234e+00, 1.662140334229441e-03, 4.487485890136537e-03, -5.955444368600689e-02
59, -5.657399368778664e-01, 3.690606429770550e+02, -2.152467997443157e+00, 8.779118949030574e+00, 1.619778019567167e-03, 3.124498051550219e-03, -5.536328225230813e-02
60, -5.938691767167470e-01, 3.690173527530384e+02, -1.872122851140113e+00, 8.814289564557324e+00, 1.640769291355260e-03, 2.537646184044878e-03, -5.330967941071175e-02
61, -7.690078459241005e-02, 3.579544011349436e+02, -1.528899525383761e+00, 8.735862843344911e+00, 1.608531574803447e-03, 2.003080565366857e-03, -5.124716565885526e-02
100, -9.449812237090384e-02, 3.464255108155040e+02, -1.158709236264915e+00, 8.643606958773946e+00, 1.547675748680780e-03, 1.078855380144595e-03, -4.698730432329156e-02
158, 1.524998638906911e-01, 3.412144566932051e+02, -6.374860112554724e-01, 8.629395218710641e+00, 1.545903374304451e-03, 4.060150173504681e-04, -4.267315066677782e-02
217, -8.020170493827324e-02, 3.390466652287247e+02, -4.863598805222721e-02, 8.626983537669746e+00, 1.518699517802104e-03, 3.518008537548110e-05, -3.835314324009836e-02
282, -2.821173109322070e-01, 3.246026924406538e+02, 8.228608529622095e-01, 8.422131770262128e+00, 1.520635193971542e-03, 6.353361456930447e-05, -3.461764360957731e-02
345, 5.188000997099972e-01, 2.798399124419988e+02, 1.660787310166467e+00, 7.765540544708246e+00, 1.388462859321032e-03, 6.108891382802526e-04, -3.066352357264414e-02
346, 4.721714189399414e-01, 2.242829735975654e+02, 2.276770045330182e+00, 6.881406966031411e+00, 1.191195333775221e-03, 1.772810715458482e-03, -2.635630721370336e-02
418, 2.936963152944125e-01, 1.694080390848395e+02, 2.691446155631712e+00, 5.909565787351680e+00, 1.003744724297336e-03, 3.645682386023376e-03, -2.179541984185312e-02
497, 2.713389175986416e-01, 1.177568058517248e+02, 2.905361653291520e+00, 4.897994627918132e+00, 8.271742290349626e-04, 6.317071397390414e-03, -1.713435886296010e-02
645, 1.818970397206011e-01, 7.114722550096327e+01, 2.925428649622944e+00, 3.867140504138110e+00, 6.708242300613605e-04, 9.835137844882587e-03, -1.261930421506376e-02
789, 1.381400721545638e-01, 3.060966388863872e+01, 2.705169217059474e+00, 2.870896800345448e+00, 5.340031736023458e-04, 1.424138035236019e-02, -8.538881844845133e-03
936, 8.936762557391059e-02, 7.180352457952507e-02, 2.264543732813821e+00, 2.079473469535591e+00, 4.152820767556314e-04, 1.948043821382322e-02, -5.128826569398554e-03
1079, 6.283658890083552e-02, -1.926181535166954e+01, 1.741823377591827e+00, 1.576260379548504e+00, 3.283163662641396e-04, 2.546082614906927e-02, -2.310305173700459e-03
1080, 3.529679607121068e-02, -3.155309395168182e+01, 1.256266346044177e+00, 1.273455171218012e+00, 2.823178935541943e-04, 3.203755371556350e-02, 4.234253562086614e-05
1221, 2.387593339558955e-02, -4.029814340143075e+01, 8.358244192180425e-01, 1.091620013296342e+00, 2.622158929816720e-04, 3.916171245395839e-02, 1.933270110766632e-03
1355, 1.686208105946894e-02, -4.262766265329861e+01, 4.844835388152676e-01, 9.943822103556293e-01, 2.421241540346974e-04, 4.680417568812203e-02, 3.354625815785281e-03
1356, 7.963965373854669e-03, -3.328426457582763e+01, 1.833355338018469e-01, 9.532600231869163e-01, 1.975057963539774e-04, 5.490741045153565e-02, 4.318682863212249e-03
1471, 3.995478702917836e-04, -1.335226658058579e+01, -1.106834284458976e-01, 9.480486489896449e-01, 1.270229882114334e-04, 6.343256670888568e-02, 4.846177976206088e-03
1588, -5.176878413137469e-03, 8.142252944051487e+00, -4.278012658597417e-01, 9.685443249853074e-01, 5.796542866003071e-05, 7.237285643911417e-02, 4.966755228363819e-03
1707, -1.160353385213824e-02, 2.234714240413081e+01, -7.641460632210161e-01, 1.007917405788767e+00, 1.806997743882795e-05, 8.169831926581642e-02, 4.729031395071657e-03
1892, -3.932414490925679e-02, 3.605142894972176e+01, -2.526987503637478e+00, 8.356341187824081e-01, -4.334026253280417e-05, 6.353413518091157e-01, -7.702491907684926e-02
1883, -4.864062793698401e-02, 3.484111000658722e+01, -2.489897819807871e+00, 7.904747778642776e-01, -4.573736317058987e-05, 6.509436757422313e-01, -7.619526378619997e-02
1882, -4.118800173178222e-02, 3.341571087346687e+01, -2.441623700254631e+00, 7.490582742402896e-01, -4.834189054732457e-05, 6.663788378657320e-01, -7.511935224797875e-02
1881, -5.417522481908633e-02, 3.215170325300740e+01, -2.400257802719532e+00, 7.094595988503282e-01, -5.128974881810777e-05, 6.816223760623115e-01, -7.380937118321967e-02
1880, -4.509179314511238e-02, 3.063217086589279e+01, -2.345814176622710e+00, 6.727438532517842e-01, -5.405653305035586e-05, 6.966604904903797e-01, -7.227751882238696e-02
1879, -5.949532577091309e-02, 2.928542069560558e+01, -2.298788144395408e+00, 6.388016524724456e-01, -5.750019712204110e-05, 7.114798218994717e-01, -7.053657882966469e-02
1878, -5.063519783986572e-02, 2.766335642401349e+01, -2.238107746361681e+00, 6.079544704944512e-01, -6.062847682724186e-05, 7.260476641029290e-01, -6.860368666981106e-02
1877, -6.490517772538144e-02, 2.620068032079874e+01, -2.184340200325216e+00, 5.806316561023781e-01, -6.469982449630533e-05, 7.403628351635495e-01, -6.649320316008510e-02
1876, -5.794265420682817e-02, 2.445264905654467e+01, -2.116933920968186e+00, 5.561528330583907e-01, -6.825685625833326e-05, 7.544139676059348e-01, -6.422087500409612e-02
