VARIABLES="VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
          0               , 3.64969         , 0.001           
          1               , 3.18216         , 0.001           
          2               , 2.46632         , 0.001           
          3               , 1.70227         , 0.001           
          4               , 0.966747        , 0.001           
          5               , 0.296484        , 0.001           
          6               , -0.291342       , 0.001           
          7               , -0.791358       , 0.001           
          8               , -1.20605        , 0.001           
          9               , -1.54329        , 0.001           
          10              , -1.81462        , 0.001           
          11              , -2.03393        , 0.001           
          12              , -2.21652        , 0.001           
          13              , -2.37757        , 0.001           
          14              , -2.52775        , 0.001           
          15              , -2.66038        , 0.001           
          16              , -2.72683        , 0.001           
          17              , -2.67035        , 0.001           
          18              , -2.8531         , 0.001           
          19              , -0.178743       , 0.001           
          20              , 0.258849        , 0.001           
          21              , 0.536219        , 0.001           
          22              , 0.715386        , 0.001           
          23              , 0.831844        , 0.001           
          24              , 0.908702        , 0.001           
          25              , 0.962292        , 0.001           
          26              , 1.00481         , 0.001           
          27              , 1.04579         , 0.001           
          28              , 1.0931          , 0.001           
          29              , 1.15391         , 0.001           
          30              , 1.23586         , 0.001           
          31              , 1.34886         , 0.001           
          32              , 1.50789         , 0.001           
          33              , 1.73758         , 0.001           
          34              , 2.07797         , 0.001           
          35              , 2.58492         , 0.001           
          36              , 3.30492         , 0.001           
          37              , 4.32784         , 0.001           
