VARIABLES="VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
          0               , -1.20448        , 0.001           
          1               , -1.17689        , 0.001           
          2               , -1.04829        , 0.001           
          3               , -0.886914       , 0.001           
          4               , -0.719618       , 0.001           
          5               , -0.559881       , 0.001           
          6               , -0.414885       , 0.001           
          7               , -0.288167       , 0.001           
          8               , -0.180873       , 0.001           
          9               , -0.0924675      , 0.001           
          10              , -0.0211739      , 0.001           
          11              , 0.0356963       , 0.001           
          12              , 0.0814156       , 0.001           
          13              , 0.11931         , 0.001           
          14              , 0.15155         , 0.001           
          15              , 0.176248        , 0.001           
          16              , 0.181862        , 0.001           
          17              , 0.14962         , 0.001           
          18              , 0.13831         , 0.001           
          19              , -0.201598       , 0.001           
          20              , -0.175822       , 0.001           
          21              , -0.153496       , 0.001           
          22              , -0.137824       , 0.001           
          23              , -0.127115       , 0.001           
          24              , -0.119594       , 0.001           
          25              , -0.114204       , 0.001           
          26              , -0.110552       , 0.001           
          27              , -0.108665       , 0.001           
          28              , -0.108766       , 0.001           
          29              , -0.111154       , 0.001           
          30              , -0.116226       , 0.001           
          31              , -0.12464        , 0.001           
          32              , -0.137656       , 0.001           
          33              , -0.157608       , 0.001           
          34              , -0.188287       , 0.001           
          35              , -0.233644       , 0.001           
          36              , -0.290117       , 0.001           
          37              , -0.355992       , 0.001           
