"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"
0	1.002196748877923e+00	-1.314020650350536e-03	1.291017581624725e-01	7.341993514673598e-01	2.019874356315278e+00	2.782094648614961e+04	1.112122308988928e+04	3.000894594985873e+02	8.805003756792532e-02	4.793633643161096e-02	1.846339519092037e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1	1.002615988988672e+00	-9.311582929703820e-04	1.290585724335313e-01	5.393078850963020e-01	1.665031057055596e+00	2.781027160227480e+04	1.111936167779367e+04	3.001396315712266e+02	7.026576941496372e-02	3.904711797728842e-02	1.846576875919548e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
2	1.002284793891264e+00	-1.626022764876302e-03	1.289470994681126e-01	9.073495569032267e-01	1.983988371038809e+00	2.778784715514193e+04	1.110775677576796e+04	3.000855817009194e+02	-4.060956549939172e-02	4.871888746036487e-02	1.846321172987338e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
3	1.001799016894462e+00	-1.551484047802598e-03	1.289107047410245e-01	8.615219201744210e-01	2.560693873756769e+00	2.778241045256991e+04	1.110163948437270e+04	3.000049928566818e+02	-9.905527496889990e-02	6.035881616766423e-02	1.845939875974813e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
4	1.002457712166454e+00	-2.019945504649125e-03	1.289542380741542e-01	1.104904748422874e+00	1.907480740019363e+00	2.779012822523661e+04	1.110851482235353e+04	3.000894478079439e+02	-3.336705118350196e-02	4.922400057752836e-02	1.846339463783041e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
5	1.002665394549596e+00	-2.517837455592865e-03	1.289603579480393e-01	1.402109315587745e+00	1.839251655777637e+00	2.779302341756998e+04	1.110891417109143e+04	3.000859945630181e+02	-2.955160104316468e-02	5.164145892149489e-02	1.846323126269387e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
6	1.002755418661555e+00	-1.479621140232393e-03	1.288998157846358e-01	9.257285439426005e-01	1.691049949668209e+00	2.777677561290888e+04	1.110494356001087e+04	3.001196312971925e+02	-6.748753814937912e-02	4.306514628928312e-02	1.846482259827549e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
7	1.003179070759235e+00	-1.070287683154724e-03	1.289598509710380e-01	7.760324516678961e-01	1.533057609867199e+00	2.778877124564664e+04	1.111092956616625e+04	3.001416165281788e+02	-1.029615162960390e-02	3.836435388902246e-02	1.846586266066954e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
8	1.003058024477391e+00	-2.027618050750342e-03	1.289619870916202e-01	1.193994557967691e+00	1.675229802750645e+00	2.779147393106062e+04	1.111002637036459e+04	3.001122472030480e+02	-1.892544783389868e-02	4.593263148808373e-02	1.846447326823888e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
9	1.003134613914439e+00	-6.724789561050712e-04	1.289287197864639e-01	4.068881945692392e-01	1.495908539706669e+00	2.778111465397267e+04	1.110871775451404e+04	3.001543263447744e+02	-3.142820058292457e-02	3.462048970673271e-02	1.846646391113534e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
10	1.002160981628162e+00	-9.710369012332197e-04	1.288515587047828e-01	5.168317900233605e-01	1.973446695001281e+00	2.776707665311946e+04	1.110037112439930e+04	3.001084112904030e+02	-1.111734157797374e-01	4.558825037821595e-02	1.846429179551236e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
11	1.001763705084262e+00	-1.172160994686706e-03	1.287880669135059e-01	6.266349155249448e-01	2.620597095847764e+00	2.775597782561186e+04	1.109111648247633e+04	3.000060322153406e+02	-1.995939401794636e-01	6.025385563841621e-02	1.845944793900200e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
12	1.002649503863743e+00	-3.742995969989687e-04	1.290670208589502e-01	-3.491476509039365e-01	1.395047365228853e+00	2.781012306655812e+04	1.112084459507663e+04	3.001600101922030e+02	8.443382960484512e-02	3.208050160321242e-02	1.846673278715865e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
13	1.002150026095241e+00	-6.313474971327867e-04	1.290434272667220e-01	-8.781596243357249e-02	1.830713857777130e+00	2.780801850262753e+04	1.111800105316725e+04	3.001381264214746e+02	5.726611540557853e-02	4.089537744463863e-02	1.846569755554534e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
14	1.001393359739096e+00	-1.374073637309020e-03	1.290326278900197e-01	8.842179605505579e-01	3.714605173342495e+00	2.781592208304088e+04	1.110376969184567e+04	2.997790288667247e+02	-7.870288711772788e-02	8.525733066578904e-02	1.844870486961991e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
15	1.001931230650522e+00	-1.971393284436604e-03	1.288894562099580e-01	1.088630985703261e+00	2.346497431666389e+00	2.777784708753274e+04	1.110075603440766e+04	3.000305734168556e+02	-1.074959158753762e-01	5.779655624630448e-02	1.846060912905583e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
16	1.001489688323796e+00	-1.793033312636512e-03	1.289769808898493e-01	1.086084754010618e+00	3.064792467651322e+00	2.780039352610383e+04	1.110376296099835e+04	2.999081864564305e+02	-7.876719485164084e-02	7.261633261614812e-02	1.845481781513718e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
17	1.002098641862512e+00	-2.408317028322370e-03	1.288523841679464e-01	1.397016265591370e+00	2.134829588861811e+00	2.777067664538327e+04	1.109816738864558e+04	3.000469091394241e+02	-1.322283061367871e-01	5.701988249214680e-02	1.846138204352106e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
18	1.002272706250724e+00	-2.898855910211184e-03	1.289085237067956e-01	1.692549014235791e+00	1.973356105537906e+00	2.778411262802273e+04	1.110315876792773e+04	3.000511257447621e+02	-8.453976483186414e-02	5.807757873076789e-02	1.846158154623168e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
19	1.002888415578619e+00	-3.039964626559003e-03	1.289507596308802e-01	1.727975401355174e+00	1.771729907338094e+00	2.779308307371650e+04	1.110773359432388e+04	3.000764377661422e+02	-4.083104521287910e-02	5.526646921974799e-02	1.846277911999841e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
20	1.003309248483057e+00	-2.587398568085387e-03	1.289237227716418e-01	1.496830563360704e+00	1.682753967934689e+00	2.778531332937249e+04	1.110625686108592e+04	3.000994649638926e+02	-5.494002191726774e-02	5.030165712419485e-02	1.846386855044817e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
21	1.003362518254513e+00	-1.572853596789699e-03	1.290186096140126e-01	1.027822851384389e+00	1.527406844961900e+00	2.780215125143454e+04	1.111560638801749e+04	3.001312020609737e+02	3.438705103268592e-02	4.108696769580723e-02	1.846536998474236e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
22	1.003717109367079e+00	-8.001311968144970e-04	1.290512265656742e-01	5.786326959987613e-01	1.436875355074100e+00	2.780720074036913e+04	1.111916173159503e+04	3.001513187920721e+02	6.835544723470657e-02	3.455991162428065e-02	1.846632163699449e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
23	1.003712804270760e+00	-2.091385452816383e-03	1.289588386321027e-01	1.315738395489007e+00	1.567309991279189e+00	2.779110692541065e+04	1.110994825117115e+04	3.001174640144965e+02	-1.967181275085674e-02	4.569182049073205e-02	1.846472006792772e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
24	1.003196583001044e+00	-1.503123201422813e-04	1.288594953726058e-01	-2.181385543417216e-01	1.282772954768221e+00	2.776366690880458e+04	1.110283895425177e+04	3.001566429874986e+02	-8.759532259129178e-02	2.907373879210665e-02	1.846657350087919e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
25	1.002816305891738e+00	2.015624169032009e-04	1.291415442267249e-01	-9.511979827641796e-01	9.813492102438404e-01	2.782224318196198e+04	1.112600459578291e+04	3.001259896065602e+02	1.337334105232530e-01	3.047202656133244e-02	1.846512339667373e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
26	1.001750038786497e+00	-8.254302250233897e-04	1.294363664117875e-01	-2.068305573659900e-01	2.457863721828166e+00	2.789549113855831e+04	1.114879589339706e+04	3.000557801383388e+02	3.514855940834576e-01	5.487618501289487e-02	1.846180176068842e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
27	1.001384923098933e+00	-1.012561740093030e-03	1.292540121628654e-01	-1.102856516651120e-02	3.854817180377813e+00	2.786440647076342e+04	1.112276951153393e+04	2.997776495982731e+02	1.028248299263195e-01	8.592371781079929e-02	1.844863958281714e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
28	1.002364768071240e+00	5.578138422860977e-04	1.284909302940734e-01	-3.898826319866167e-01	1.003581098392163e+00	2.767932102761373e+04	1.106992410706057e+04	3.001252364924505e+02	-4.020697315860637e-01	2.412701069594968e-02	1.846508776857274e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
29	1.002279358795530e+00	6.958128724104761e-05	1.287468335432359e-01	-1.059182595552184e+00	1.007226778965124e+00	2.773958184005077e+04	1.109251401586822e+04	3.001399285589649e+02	-1.862416531427956e-01	3.268822265630122e-02	1.846578280868132e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
30	1.002187033825534e+00	-3.229414245583138e-04	1.286091599446475e-01	-8.535570964666332e-01	1.357805763243775e+00	2.771318843189515e+04	1.108127535252819e+04	3.001568025547146e+02	-2.936178773499924e-01	3.590518799065888e-02	1.846658104925731e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
31	1.001751383147736e+00	-4.607308497563906e-04	1.293856216686206e-01	-1.393648687446621e+00	1.823011997525208e+00	2.788416948905336e+04	1.114552836043645e+04	3.000854853060818e+02	3.202669926210665e-01	5.107022700455773e-02	1.846320716935828e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
32	1.001039910846771e+00	-1.174281580365344e-03	1.283813430434446e-01	8.052201941704772e-01	5.267830512916784e+00	2.768947165180886e+04	1.103154793664215e+04	2.993400915442336e+02	-7.687226114160045e-01	1.196778750019215e-01	1.842792066559152e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
33	1.003558816558675e+00	-3.233534685231555e-03	1.289721910110304e-01	1.777690689631494e+00	1.664246498144549e+00	2.779807412846991e+04	1.111003402472131e+04	3.000887099093342e+02	-1.885231672412133e-02	5.436932676806719e-02	1.846335972747125e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
34	1.001091752038208e+00	-1.605274975451142e-03	1.290621740391621e-01	1.565186670610400e+00	4.569799228651377e+00	2.783170786804295e+04	1.109652557513574e+04	2.995148690459160e+02	-1.479144896450285e-01	1.078765640597316e-01	1.843619836336843e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
35	1.000724958552835e+00	-1.410509060139634e-03	1.279172046357691e-01	2.481645583259897e+00	6.541112654589834e+00	2.761177428184908e+04	1.096818408868411e+04	2.987006144989482e+02	-1.374112286248384e+00	1.578545333772410e-01	1.839761412135786e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
36	1.001579763503875e+00	-2.260569985116624e-03	1.290884021533362e-01	1.355193156240780e+00	2.684464911299139e+00	2.782394427917626e+04	1.111556731228547e+04	2.999678795375152e+02	3.401371441468139e-02	6.709349656605457e-02	1.845764261732404e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
