"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
93, 1.000000000000000e+00, -1.000000000000000e-03, 9.799282332648119e+03, -1.254201128231703e+01, 0.000000000000000e+00, 0.000000000000000e+00
70, 9.997621355856203e-01, -1.104661405578656e-03, 1.126200969574722e+04, 1.433150758053464e+00, 0.000000000000000e+00, 0.000000000000000e+00
108, 9.990485012488061e-01, -1.418664944874762e-03, 1.099782942837676e+04, -1.090875343809018e+00, 0.000000000000000e+00, 0.000000000000000e+00
168, 9.978686702132833e-01, -1.937720484070766e-03, 1.109971664061424e+04, -1.174264723504787e-01, 0.000000000000000e+00, 0.000000000000000e+00
226, 9.962132437955421e-01, -2.665584672950867e-03, 1.109335595609053e+04, -1.781976038333044e-01, 0.000000000000000e+00, 0.000000000000000e+00
290, 9.940822606931574e-01, -3.601272110521197e-03, 1.110462839191743e+04, -7.049871117235798e-02, 0.000000000000000e+00, 0.000000000000000e+00
359, 9.914853571674017e-01, -4.738798332476807e-03, 1.110807867013580e+04, -3.753412843294713e-02, 0.000000000000000e+00, 0.000000000000000e+00
394, 9.884321728242919e-01, -6.071492266230218e-03, 1.111070358142300e+04, -1.245525077909455e-02, 0.000000000000000e+00, 0.000000000000000e+00
395, 9.849038280601278e-01, -7.604840562513813e-03, 1.111187854912507e+04, -1.229396636356934e-03, 0.000000000000000e+00, 0.000000000000000e+00
396, 9.809288756219902e-01, -9.324216892488045e-03, 1.111213772854726e+04, 1.246850485275577e-03, 0.000000000000000e+00, 0.000000000000000e+00
470, 9.764883938926089e-01, -1.123699603701911e-02, 1.111177263979757e+04, -2.241273525233703e-03, 0.000000000000000e+00, 0.000000000000000e+00
471, 9.716109697805432e-01, -1.333195472149312e-02, 1.111088361795396e+04, -1.073514916828533e-02, 0.000000000000000e+00, 0.000000000000000e+00
516, 9.662775255275239e-01, -1.562007190902446e-02, 1.110957616292087e+04, -2.322681125711695e-02, 0.000000000000000e+00, 0.000000000000000e+00
521, 9.605069335344338e-01, -1.809674429941591e-02, 1.110789327812151e+04, -3.930539730107215e-02, 0.000000000000000e+00, 0.000000000000000e+00
537, 9.542990465612926e-01, -2.076492248812486e-02, 1.110584396718448e+04, -5.888488500229021e-02, 0.000000000000000e+00, 0.000000000000000e+00
469, 9.922119222715451e-01, -2.865695689061893e-03, 1.117961389039989e+04, 6.459263167631314e-01, 0.000000000000000e+00, 0.000000000000000e+00
393, 9.948726051760148e-01, -1.888769935904102e-03, 1.115161316470107e+04, 3.784023141629769e-01, 0.000000000000000e+00, 0.000000000000000e+00
325, 9.970564384455434e-01, -1.084474019470472e-03, 1.126316651078204e+04, 1.444203178326787e+00, 0.000000000000000e+00, 0.000000000000000e+00
259, 9.987533013274225e-01, -4.591022282699657e-04, 1.093162587963512e+04, -1.723396034029552e+00, 0.000000000000000e+00, 0.000000000000000e+00
196, 9.999628926939207e-01, -1.365583219984906e-05, 1.486996698244195e+04, 3.590422786258303e+01, 0.000000000000000e+00, 0.000000000000000e+00
135, 1.000000000000000e+00, 0.000000000000000e+00, 1.440922710685239e+04, 3.150223567848791e+01, 0.000000000000000e+00, 0.000000000000000e+00
