"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"	"<greek>m</greek><sub>t</sub>"
0	1.001818638721269e+00	-1.831215062676750e-04	9.873489680410218e-01	7.919779906756413e-03	-1.014883493245682e-03	2.489360319511152e+00	2.025310561953478e-06	9.957312138491440e-01	1.008489648624187e+00	-4.532005001333466e-01	6.805805967849932e-03	5.593007075062395e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.984150162252369e-06	
1	1.002225623410393e+00	1.989480940584426e-04	9.867125531751580e-01	1.225767876537161e-02	-2.726777751742811e-03	2.489510381443449e+00	2.295393184701973e-06	9.957721906843001e-01	1.009181638036315e+00	-4.488501481760533e-01	1.070673946514506e-02	5.595951444715619e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.252732439068397e-06	
2	1.001908345661597e+00	-4.874193141734207e-04	9.879875373828257e-01	6.789333645954188e-03	1.608693962525602e-05	2.489380006602607e+00	2.365802825672577e-06	9.957426714888973e-01	1.007849425030821e+00	-4.519840868760319e-01	5.785155811685368e-03	5.590282087563033e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.325994464572180e-06	
3	1.001441914765280e+00	-4.163840483151580e-04	9.879897529085037e-01	5.378437346301584e-03	2.452044761229567e-04	2.489342636346547e+00	1.728722519368380e-06	9.957311865195551e-01	1.007835540387197e+00	-4.532034016100033e-01	4.587707150789694e-03	5.590222980917223e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.686791605457467e-06	
4	1.002074973373930e+00	-8.734748734496033e-04	9.885205393101767e-01	6.083849280646980e-03	9.411082146753429e-04	2.489402987360589e+00	3.046290083454374e-06	9.957535271406369e-01	1.007316982847426e+00	-4.508315843556864e-01	5.244215717511066e-03	5.588015207494761e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.004448971058120e-06	
5	1.002265559267029e+00	-1.365989971173627e-03	9.888848706089169e-01	5.663853284618458e-03	1.840542959026128e-03	2.489402382808710e+00	4.001099644790887e-06	9.957537800271067e-01	1.006946116400750e+00	-4.508047363781761e-01	5.072222958503189e-03	5.586435893061446e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.952644989248916e-06	
6	1.002369098767694e+00	-3.481084760463031e-04	9.876444456329178e-01	8.968578245188616e-03	-9.982999911582829e-04	2.489472880380171e+00	2.763923857539982e-06	9.957726620074674e-01	1.008229901368342e+00	-4.488001096199899e-01	7.690474152127176e-03	5.591901613042558e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.721401334799239e-06	
7	1.002793487287389e+00	5.274772599396719e-05	9.869718821486645e-01	1.288003310907107e-02	-2.695321703183485e-03	2.489488937572206e+00	2.816055502025526e-06	9.957604858809324e-01	1.008904614094107e+00	-4.500928018374856e-01	1.121837495347109e-02	5.594772844263897e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.771277302575434e-06	
8	1.002661049186181e+00	-8.982753908406112e-04	9.883746037126131e-01	7.570708126026379e-03	2.743148298585008e-04	2.489487451266831e+00	3.865344172131213e-06	9.957833673248595e-01	1.007495906495793e+00	-4.476635675153406e-01	6.453780108050979e-03	5.588777042626848e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.816132192671416e-06	
9	1.002750263769133e+00	4.552119259487391e-04	9.865329670657165e-01	1.611581823736746e-02	-3.807476572948563e-03	2.489529981606835e+00	2.634823358295875e-06	9.957564006889994e-01	1.009349341513357e+00	-4.505265108502421e-01	1.412051054885485e-02	5.596664863704410e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.590086990141072e-06	
