"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
572, 8.080983837242633e-01, -5.124815989341959e-02, 9.955651788378955e-01, -4.708277945159328e-01, -2.349855734986747e-06, -6.113148370970550e-07
573, 7.956536367843074e-01, -5.448200994819246e-02, 9.955462033514110e-01, -4.728423484573027e-01, -2.245330330163624e-06, -5.823999017666741e-07
578, 7.829236774824843e-01, -5.777804382419451e-02, 9.955231285280438e-01, -4.752921131259756e-01, -2.138582261243430e-06, -5.523139718071950e-07
579, 7.699270174172741e-01, -6.112621138074175e-02, 9.955043984612009e-01, -4.772806118140746e-01, -2.029537976349423e-06, -5.210414494598003e-07
577, 7.566622284276299e-01, -6.452012189314918e-02, 9.954969113005087e-01, -4.780754946801578e-01, -1.925933668541216e-06, -4.904603613410130e-07
576, 7.431370875573714e-01, -6.794856403702022e-02, 9.954929906525284e-01, -4.784917346984471e-01, -1.836422578317870e-06, -4.627063313483837e-07
575, 7.293787844951710e-01, -7.139447771821254e-02, 9.954761403705773e-01, -4.802806639016794e-01, -1.756340980533310e-06, -4.365284170035664e-07
574, 7.153946162223623e-01, -7.484379521927106e-02, 9.954440546476395e-01, -4.836870808943944e-01, -1.667332890480624e-06, -4.071056200526954e-07
569, 7.011806624692962e-01, -7.827949391216303e-02, 9.954069524280568e-01, -4.876260799158348e-01, -1.562393731918544e-06, -3.727749574691577e-07
568, 6.867621205796277e-01, -8.167528534074622e-02, 9.953732536452230e-01, -4.912037492331621e-01, -1.442947721502202e-06, -3.342616437988123e-07
566, 6.721439652477055e-01, -8.500590125121264e-02, 9.953385975921463e-01, -4.948830482263601e-01, -1.311356794512346e-06, -2.920426198498507e-07
565, 6.573291524317436e-01, -8.823008504425618e-02, 9.952995858162413e-01, -4.990247774501720e-01, -1.166870535471736e-06, -2.462484124004073e-07
564, 6.423296609372131e-01, -9.129770902259773e-02, 9.952523356475321e-01, -5.040411449452048e-01, -1.006054272432899e-06, -1.977568390317930e-07
563, 6.271582943794394e-01, -9.416067316737213e-02, 9.951995467077704e-01, -5.096455423209567e-01, -8.260907301515719e-07, -1.487946164092437e-07
562, 6.118248233594009e-01, -9.679220913057504e-02, 9.951408624239506e-01, -5.158758255530606e-01, -6.305803505896964e-07, -1.025602519567182e-07
561, 5.963416227638154e-01, -9.917282681664166e-02, 9.950995913702265e-01, -5.202574135567222e-01, -4.168145634750776e-07, -6.025150537099356e-08
560, 5.807317830900873e-01, -1.012867797309113e-01, 9.950175515232642e-01, -5.289672665126327e-01, -1.784067234167304e-07, -2.262430561913324e-08
559, 5.650111792676196e-01, -1.031459367716135e-01, 9.949360431619593e-01, -5.376206936938093e-01, 8.136131131910694e-08, 8.991836237887601e-09
