"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"
0	1.002196898111946e+00	-1.305445042452573e-03	1.291006363671753e-01	6.218325678931599e-01	1.972698222926402e+00	2.781898642303062e+04	1.112096684971896e+04	3.000851527533251e+02	8.560187259080042e-02	4.613513236082740e-02	1.846319143602198e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1	1.002614209503708e+00	-9.209137219424034e-04	1.290582432930391e-01	4.161992683298668e-01	1.636543828844593e+00	2.780817542181164e+04	1.111885123745466e+04	3.001266189169045e+02	6.538893000555078e-02	3.767468656415777e-02	1.846515316786918e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
2	1.002286195087665e+00	-1.616959238381516e-03	1.289482592981922e-01	7.978969306280801e-01	1.938356784059101e+00	2.778637873521604e+04	1.110773656450438e+04	3.000823365498898e+02	-4.080266757066125e-02	4.681002628726810e-02	1.846305819884990e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
3	1.001800312682260e+00	-1.544475750534222e-03	1.289085668008406e-01	7.492212077985257e-01	2.487619496943232e+00	2.778030580586170e+04	1.110165042998361e+04	3.000102642134100e+02	-9.895069862066939e-02	5.804165601885281e-02	1.845964818327355e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
4	1.002460707727843e+00	-2.010071628584345e-03	1.289580383920298e-01	9.901420827779983e-01	1.867777523464941e+00	2.778910740066491e+04	1.110871206355417e+04	3.000859325359434e+02	-3.148257304379869e-02	4.720454791606251e-02	1.846322832814653e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
5	1.002670481764713e+00	-2.507068441732147e-03	1.289604453601419e-01	1.278807696076219e+00	1.804023678164089e+00	2.779111255672961e+04	1.110886153375264e+04	3.000843692627038e+02	-3.005450770749779e-02	4.937654936577843e-02	1.846315436842191e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
6	1.002755993720089e+00	-1.468528904275759e-03	1.289009916282324e-01	8.126545713904652e-01	1.666286047540453e+00	2.777506344618526e+04	1.110469273269502e+04	3.001101148464639e+02	-6.988398773501295e-02	4.141322763839445e-02	1.846437238897899e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
7	1.003177554052912e+00	-1.057330101665084e-03	1.289589756308441e-01	6.569703050714113e-01	1.522804818497328e+00	2.778637082398906e+04	1.111028256293064e+04	3.001261760739581e+02	-1.647773767663636e-02	3.703027866146202e-02	1.846513221801187e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
8	1.003060941113234e+00	-2.015056781199957e-03	1.289615556401469e-01	1.074174653164108e+00	1.653648129637685e+00	2.778929133556876e+04	1.110968620479660e+04	3.001040624186259e+02	-2.217545125431902e-02	4.402918099757303e-02	1.846408605389878e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
9	1.003131232137471e+00	-6.599100249235718e-04	1.289315201626947e-01	2.819094256481614e-01	1.481495725163486e+00	2.777943798848665e+04	1.110824727219158e+04	3.001350950114000e+02	-3.592327386818425e-02	3.367889053492701e-02	1.846555414904630e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
10	1.002159724091317e+00	-9.627897919935835e-04	1.288455679103215e-01	3.920401387526485e-01	1.920730195353833e+00	2.776406210924980e+04	1.109965971813749e+04	3.001031307143516e+02	-1.179703199985826e-01	4.381027172161747e-02	1.846404197553283e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
11	1.001763559777045e+00	-1.165465475667764e-03	1.287902334891677e-01	5.038998160537451e-01	2.538029627268302e+00	2.775484121026432e+04	1.109153894194415e+04	3.000124123654836e+02	-1.955576859414982e-01	5.786159820576100e-02	1.845974982625966e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
12	1.002645134722119e+00	-3.642309264221569e-04	1.290673263850284e-01	-4.772275229862633e-01	1.357431635068372e+00	2.780795140643869e+04	1.111997236603098e+04	3.001357575921188e+02	7.610039539366817e-02	3.209959948900844e-02	1.846558549372134e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
