"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
93, 1.000000000000000e+00, -1.000000000000000e-03, 9.705990875067679e+03, -1.343333475760002e+01, 0.000000000000000e+00, 0.000000000000000e+00
70, 9.997621355856203e-01, -1.104659703541963e-03, 1.122115256618043e+04, 1.042794345365220e+00, 0.000000000000000e+00, 0.000000000000000e+00
108, 9.990485012488061e-01, -1.418557369953404e-03, 1.097726741762128e+04, -1.287328517129559e+00, 0.000000000000000e+00, 0.000000000000000e+00
168, 9.978686702132833e-01, -1.936538390119094e-03, 1.108542109276265e+04, -2.540087246018410e-01, 0.000000000000000e+00, 0.000000000000000e+00
226, 9.962132437955421e-01, -2.659181906882183e-03, 1.108241540465594e+04, -2.827256129255094e-01, 0.000000000000000e+00, 0.000000000000000e+00
290, 9.940822606931574e-01, -3.578028208783527e-03, 1.109488958026942e+04, -1.635450807797038e-01, 0.000000000000000e+00, 0.000000000000000e+00
359, 9.914853571674017e-01, -4.674118264276017e-03, 1.109839155952219e+04, -1.300865369976465e-01, 0.000000000000000e+00, 0.000000000000000e+00
394, 9.884321728242919e-01, -5.923098984480062e-03, 1.110091201857471e+04, -1.060056149039043e-01, 0.000000000000000e+00, 0.000000000000000e+00
395, 9.849038280601278e-01, -7.310260903526109e-03, 1.110233137051919e+04, -9.244486946579505e-02, 0.000000000000000e+00, 0.000000000000000e+00
396, 9.809288756219902e-01, -8.806873432242604e-03, 1.110359441454803e+04, -8.037751815171849e-02, 0.000000000000000e+00, 0.000000000000000e+00
470, 9.764883938926089e-01, -1.041482177770364e-02, 1.110487842731921e+04, -6.810982767723790e-02, 0.000000000000000e+00, 0.000000000000000e+00
471, 9.716109697805432e-01, -1.213502512214936e-02, 1.110611196983070e+04, -5.632433920090690e-02, 0.000000000000000e+00, 0.000000000000000e+00
516, 9.662775255275239e-01, -1.400056796854818e-02, 1.110704094654960e+04, -4.744872744588703e-02, 0.000000000000000e+00, 0.000000000000000e+00
521, 9.605069335344338e-01, -1.603852470291978e-02, 1.110741550259223e+04, -4.387015120467226e-02, 0.000000000000000e+00, 0.000000000000000e+00
537, 9.542990465612926e-01, -1.827946017162749e-02, 1.110707850498718e+04, -4.708988733362370e-02, 0.000000000000000e+00, 0.000000000000000e+00
469, 9.922119222715451e-01, -2.763064208065357e-03, 1.118882160042970e+04, 7.338984453590803e-01, 0.000000000000000e+00, 0.000000000000000e+00
393, 9.948726051760148e-01, -1.857338964769536e-03, 1.116208818672078e+04, 4.784825709456589e-01, 0.000000000000000e+00, 0.000000000000000e+00
325, 9.970564384455434e-01, -1.078214930766139e-03, 1.126896381391443e+04, 1.499591662002058e+00, 0.000000000000000e+00, 0.000000000000000e+00
259, 9.987533013274225e-01, -4.586097034539042e-04, 1.094291201519570e+04, -1.615566251632925e+00, 0.000000000000000e+00, 0.000000000000000e+00
196, 9.999628926939207e-01, -1.365581891860174e-05, 1.486085729287173e+04, 3.581719223920364e+01, 0.000000000000000e+00, 0.000000000000000e+00
135, 1.000000000000000e+00, 0.000000000000000e+00, 1.436503594830924e+04, 3.108002534936429e+01, 0.000000000000000e+00, 0.000000000000000e+00
538, 9.476630050780430e-01, -2.073856815461376e-02, 1.110599247174544e+04, -5.746604554152349e-02, 0.000000000000000e+00, 0.000000000000000e+00
541, 9.406073032709968e-01, -2.341419284323721e-02, 1.110429012044225e+04, -7.373061808718682e-02, 0.000000000000000e+00, 0.000000000000000e+00
544, 9.331391429429394e-01, -2.628943542866209e-02, 1.110216492564218e+04, -9.403511395405902e-02, 0.000000000000000e+00, 0.000000000000000e+00
545, 9.252458505652166e-01, -2.934772566345786e-02, 1.109980337420401e+04, -1.165978039314536e-01, 0.000000000000000e+00, 0.000000000000000e+00
550, 9.169519941343894e-01, -3.255766161334292e-02, 1.109735196479288e+04, -1.400190132504850e-01, 0.000000000000000e+00, 0.000000000000000e+00
551, 9.082431930377265e-01, -3.590683463635003e-02, 1.109489334084954e+04, -1.635091515163418e-01, 0.000000000000000e+00, 0.000000000000000e+00
552, 8.991326220984526e-01, -3.937716063608578e-02, 1.109256456546512e+04, -1.857586931424995e-01, 0.000000000000000e+00, 0.000000000000000e+00
553, 8.896241310836983e-01, -4.296065701470518e-02, 1.109033263864455e+04, -2.070829260560454e-01, 0.000000000000000e+00, 0.000000000000000e+00
556, 8.797148393122844e-01, -4.666293366576934e-02, 1.108807640786864e+04, -2.286393633588713e-01, 0.000000000000000e+00, 0.000000000000000e+00
