"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
572, 8.124941550296225e-01, -7.321649505104980e-02, 1.106430411551309e+04, -4.557641482784737e-01, 0.000000000000000e+00, 0.000000000000000e+00
573, 8.000811995613997e-01, -7.766645061263240e-02, 1.106047252391759e+04, -4.923718680562176e-01, 0.000000000000000e+00, 0.000000000000000e+00
578, 7.873537456814902e-01, -8.218951048039860e-02, 1.105637590849339e+04, -5.315116734735256e-01, 0.000000000000000e+00, 0.000000000000000e+00
579, 7.743298438441808e-01, -8.677225868504139e-02, 1.105203615910369e+04, -5.729744248144514e-01, 0.000000000000000e+00, 0.000000000000000e+00
577, 7.610077150197835e-01, -9.140685807261328e-02, 1.104747628973579e+04, -6.165402422776501e-01, 0.000000000000000e+00, 0.000000000000000e+00
576, 7.473953596122606e-01, -9.608140931449524e-02, 1.104263967252419e+04, -6.627501587423288e-01, 0.000000000000000e+00, 0.000000000000000e+00
575, 7.335206854829130e-01, -1.007767814535799e-01, 1.103760797661762e+04, -7.108238923759448e-01, 0.000000000000000e+00, 0.000000000000000e+00
574, 7.193921869180818e-01, -1.054801836722981e-01, 1.103231460782347e+04, -7.613976961508634e-01, 0.000000000000000e+00, 0.000000000000000e+00
569, 7.050082799618819e-01, -1.101816612015852e-01, 1.102685237550709e+04, -8.135848525884830e-01, 0.000000000000000e+00, 0.000000000000000e+00
568, 6.903975049090465e-01, -1.148612825670482e-01, 1.102120065224086e+04, -8.675824398664536e-01, 0.000000000000000e+00, 0.000000000000000e+00
566, 6.755695490162060e-01, -1.195081069420447e-01, 1.101536186454296e+04, -9.233672745909924e-01, 0.000000000000000e+00, 0.000000000000000e+00
565, 6.605348555915000e-01, -1.241128578488713e-01, 1.100928820487639e+04, -9.813961186255660e-01, 0.000000000000000e+00, 0.000000000000000e+00
564, 6.453141758394891e-01, -1.286632922637753e-01, 1.100296072070603e+04, -1.041850047921959e+00, 0.000000000000000e+00, 0.000000000000000e+00
563, 6.299284279037715e-01, -1.331474717650481e-01, 1.099634677545514e+04, -1.105040878242791e+00, 0.000000000000000e+00, 0.000000000000000e+00
562, 6.143888443847303e-01, -1.375565410820901e-01, 1.098939339443926e+04, -1.171474739314148e+00, 0.000000000000000e+00, 0.000000000000000e+00
561, 5.987067674368181e-01, -1.418816909425350e-01, 1.098195961323920e+04, -1.242498430717141e+00, 0.000000000000000e+00, 0.000000000000000e+00
560, 5.829036256135732e-01, -1.461090749040427e-01, 1.097401161183762e+04, -1.318435075020320e+00, 0.000000000000000e+00, 0.000000000000000e+00
559, 5.669902863080678e-01, -1.502201521933926e-01, 1.096562272559167e+04, -1.398584012944812e+00, 0.000000000000000e+00, 0.000000000000000e+00
555, 5.509981481232903e-01, -1.541897085956344e-01, 1.095683411327090e+04, -1.482552006154740e+00, 0.000000000000000e+00, 0.000000000000000e+00
554, 5.349280422289686e-01, -1.580004094189845e-01, 1.094769793505866e+04, -1.569840706815432e+00, 0.000000000000000e+00, 0.000000000000000e+00
549, 5.188115378527824e-01, -1.616277443883526e-01, 1.093827780549407e+04, -1.659842330103241e+00, 0.000000000000000e+00, 0.000000000000000e+00
