VARIABLES="VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
          0               , 3.64362         , 0.001           
          1               , 3.17971         , 0.001           
          2               , 2.46615         , 0.001           
          3               , 1.70334         , 0.001           
          4               , 0.96834         , 0.001           
          5               , 0.298139        , 0.001           
          6               , -0.28988        , 0.001           
          7               , -0.790184       , 0.001           
          8               , -1.20515        , 0.001           
          9               , -1.54257        , 0.001           
          10              , -1.81396        , 0.001           
          11              , -2.0332         , 0.001           
          12              , -2.2156         , 0.001           
          13              , -2.37638        , 0.001           
          14              , -2.52625        , 0.001           
          15              , -2.65862        , 0.001           
          16              , -2.72498        , 0.001           
          17              , -2.66865        , 0.001           
          18              , -2.8512         , 0.001           
          19              , -0.17837        , 0.001           
          20              , 0.259375        , 0.001           
          21              , 0.536897        , 0.001           
          22              , 0.71616         , 0.001           
          23              , 0.832657        , 0.001           
          24              , 0.909506        , 0.001           
          25              , 0.963056        , 0.001           
          26              , 1.00551         , 0.001           
          27              , 1.04642         , 0.001           
          28              , 1.09365         , 0.001           
          29              , 1.15439         , 0.001           
          30              , 1.2363          , 0.001           
          31              , 1.34927         , 0.001           
          32              , 1.50833         , 0.001           
          33              , 1.73811         , 0.001           
          34              , 2.0787          , 0.001           
          35              , 2.58603         , 0.001           
          36              , 3.30669         , 0.001           
          37              , 4.33026         , 0.001           
