VARIABLES="VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
          0               , 4.5117          , 0.001           
          1               , 3.43416         , 0.001           
          2               , 2.39288         , 0.001           
          3               , 1.48083         , 0.001           
          4               , 0.705121        , 0.001           
          5               , 0.0552927       , 0.001           
          6               , -0.484213       , 0.001           
          7               , -0.930362       , 0.001           
          8               , -1.30004        , 0.001           
          9               , -1.60933        , 0.001           
          10              , -1.87328        , 0.001           
          11              , -2.10598        , 0.001           
          12              , -2.32076        , 0.001           
          13              , -2.52937        , 0.001           
          14              , -2.73702        , 0.001           
          15              , -2.92686        , 0.001           
          16              , -3.03213        , 0.001           
          17              , -2.98834        , 0.001           
          18              , -3.21611        , 0.001           
          19              , -0.180545       , 0.001           
          20              , 0.220633        , 0.001           
          21              , 0.466296        , 0.001           
          22              , 0.624763        , 0.001           
          23              , 0.730637        , 0.001           
          24              , 0.804785        , 0.001           
          25              , 0.861311        , 0.001           
          26              , 0.910525        , 0.001           
          27              , 0.960402        , 0.001           
          28              , 1.01748         , 0.001           
          29              , 1.08766         , 0.001           
          30              , 1.17723         , 0.001           
          31              , 1.29447         , 0.001           
          32              , 1.45231         , 0.001           
          33              , 1.67244         , 0.001           
          34              , 1.99041         , 0.001           
          35              , 2.45474         , 0.001           
          36              , 3.09963         , 0.001           
          37              , 4.04699         , 0.001           
