"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
93, 1.859058491026658e+01, -4.129682595907234e+02, -4.613289822810863e+00, -1.100954810587449e+01, 4.643279118377953e-03, 1.000000000000000e+00, -1.000000000000000e-03
70, -9.385900148409935e+01, -3.132680331632969e+02, -1.146612791883695e+01, -3.553681548625637e+00, 6.002772911108500e-03, 9.997621355856203e-01, -1.104661643295719e-03
108, 1.605484738004919e+01, -2.630824937885562e+02, -1.155597644166219e+01, -4.001013576067854e+00, 3.085293527423875e-03, 9.990485012488061e-01, -1.418679969540249e-03
168, -4.689285464954842e-01, -1.560143737344098e+02, -1.249118457193241e+01, -4.528977721737192e+00, 2.674425433724972e-03, 9.978686702132833e-01, -1.937885585193106e-03
226, 4.744768902431637e-01, -7.790985956728129e+01, -1.245605933682767e+01, -4.678753411393239e+00, 2.235996515867601e-03, 9.962132437955421e-01, -2.666478950783700e-03
290, 2.900389080971035e-01, -1.974520127444168e+01, -1.213678076437417e+01, -4.568991396019199e+00, 1.966812154408486e-03, 9.940822606931574e-01, -3.604518675207157e-03
359, 4.951057475217499e-01, 2.178942085125108e+01, -1.162644037956506e+01, -4.356535280873167e+00, 1.742830457545576e-03, 9.914853571674017e-01, -4.747832750625662e-03
394, 5.501558831425540e-01, 5.148817444977258e+01, -1.107321272562395e+01, -4.115234545063200e+00, 1.565419257159793e-03, 9.884321728242919e-01, -6.092220607805053e-03
395, 5.983888471515840e-01, 7.242176352676960e+01, -1.051896315950134e+01, -3.869876485669881e+00, 1.420274175869409e-03, 9.849038280601278e-01, -7.645991684110785e-03
396, 6.041227024494955e-01, 8.753551195871056e+01, -1.000146942785872e+01, -3.634547346816828e+00, 1.299850165640945e-03, 9.809288756219902e-01, -9.396493349352534e-03
470, 5.871942909967699e-01, 9.857977004092186e+01, -9.526960637150930e+00, -3.419013008189309e+00, 1.198457339130438e-03, 9.764883938926089e-01, -1.135187346729711e-02
471, 5.571886458060857e-01, 1.068440502100632e+02, -9.097689091116592e+00, -3.221797865789485e+00, 1.112188403599479e-03, 9.716109697805432e-01, -1.349922181044633e-02
516, 5.044810752940595e-01, 1.132892389079646e+02, -8.714966220647680e+00, -3.045538798348316e+00, 1.038338130902534e-03, 9.662775255275239e-01, -1.584644201712673e-02
521, 4.631941563976060e-01, 1.183654137957264e+02, -8.371789065856005e+00, -2.885857004970042e+00, 9.752147738130958e-04, 9.605069335344338e-01, -1.838452048322192e-02
537, 4.140499248116451e-01, 1.226413119681680e+02, -8.069246319361456e+00, -2.743625086576174e+00, 9.205251056812558e-04, 9.542990465612926e-01, -2.111256709963092e-02
469, -1.959377589288242e+00, -1.453644720381886e+01, 3.878906339879070e-01, 9.813805276635288e-01, -1.134861278119984e-03, 9.922119222715451e-01, -2.878874190215523e-03
393, -3.994939721946509e-02, -3.910472847015286e+00, 6.076363430353192e-01, 1.032884643755932e+00, -1.406930624320393e-03, 9.948726051760148e-01, -1.892805925729301e-03
325, -2.672260898728849e+00, 1.234153437767372e+01, 7.667109497358597e-01, 1.160791212177907e+00, -1.710272037943640e-03, 9.970564384455434e-01, -1.085277745495827e-03
259, -1.543307099917343e+01, 3.720235779341044e+01, 2.614993540879784e-01, 1.055422938554092e+00, -2.475189696501507e-03, 9.987533013274225e-01, -4.591654735421370e-04
196, -1.636785167706662e+04, -1.611133542451546e+01, 1.434767658134801e+00, 1.682636943516425e+00, -6.033987011570653e-03, 9.999628926939207e-01, -1.365583390530554e-05
135, -1.037664885898257e+04, -1.871337543116162e+03, -8.758823220104150e+00, 5.009080438438356e+00, -4.457502716877299e-03, 1.000000000000000e+00, 0.000000000000000e+00
538, 3.682712674901067e-01, 1.263368054447785e+02, -7.801436916411599e+00, -2.616349127087624e+00, 8.735674443712049e-04, 9.476630050780430e-01, -2.402529359584282e-02
541, 3.326353351428674e-01, 1.296418124805596e+02, -7.566569497782020e+00, -2.497801386676676e+00, 8.338941084270231e-04, 9.406073032709968e-01, -2.711568110980873e-02
544, 2.815287264035258e-01, 1.327871409501993e+02, -7.363250291490744e+00, -2.389440720383609e+00, 7.999101976880101e-04, 9.331391429429394e-01, -3.037354181207937e-02
545, 2.619936514182717e-01, 1.355956033716174e+02, -7.184287255250388e+00, -2.281825740688158e+00, 7.724362499803152e-04, 9.252458505652166e-01, -3.379500462680433e-02
550, 2.126397153965311e-01, 1.384593151958668e+02, -7.034277971374655e+00, -2.181763964874925e+00, 7.484089535383111e-04, 9.169519941343894e-01, -3.735766673064678e-02
551, 1.866584251469224e-01, 1.409956921340168e+02, -6.903832090066251e+00, -2.080629966547249e+00, 7.306415672433789e-04, 9.082431930377265e-01, -4.105337841912880e-02
552, 1.594103138457114e-01, 1.432978374050752e+02, -6.796603724458333e+00, -1.981537560559490e+00, 7.167520588833374e-04, 8.991326220984526e-01, -4.485940753267163e-02
553, 1.564727026083593e-01, 1.450341999361148e+02, -6.706166548253894e+00, -1.886801285503109e+00, 7.067347166454568e-04, 8.896241310836983e-01, -4.875727329810366e-02
556, 1.965343119301332e-01, 1.461025303222745e+02, -6.631728073643322e+00, -1.794718732821146e+00, 6.984210967448347e-04, 8.797148393122844e-01, -5.273873200585198e-02
557, 2.076357973386002e-01, 1.469878534460963e+02, -6.580405254574121e+00, -1.714532099028468e+00, 6.905521540556008e-04, 8.694219966988325e-01, -5.678918435762517e-02
558, 2.496522040172273e-01, 1.472999762871150e+02, -6.544180108170378e+00, -1.633431588174620e+00, 6.857159144268718e-04, 8.587630404630028e-01, -6.089457560228450e-02
567, 2.470983997304839e-01, 1.484133272943647e+02, -6.562659025673399e+00, -1.578084147970026e+00, 6.841691116906390e-04, 8.477169457374284e-01, -6.505583857949637e-02
570, 2.839778839256906e-01, 1.489652886906568e+02, -6.595961708171675e+00, -1.529674136620040e+00, 6.865925558016799e-04, 8.363209362807044e-01, -6.925208516905547e-02
571, 2.338126437729461e-01, 1.503420572244734e+02, -6.656662618094868e+00, -1.494670394570451e+00, 6.911192020832950e-04, 8.245835781897208e-01, -7.347399753051723e-02
572, 2.149611247363397e-01, 1.518673480611405e+02, -6.718056695406720e+00, -1.458654285307291e+00, 6.988855937061599e-04, 8.124941550296225e-01, -7.771937590307255e-02
573, 1.827994689660943e-01, 1.542437747026378e+02, -6.790933942604457e+00, -1.423073772247544e+00, 7.076303366245232e-04, 8.000811995613997e-01, -8.197252418418000e-02
578, 1.461632639409118e-01, 1.571375874759736e+02, -6.864949208901876e+00, -1.390013335609386e+00, 7.170233113308406e-04, 7.873537456814902e-01, -8.622445563749208e-02
579, 1.569537724517389e-01, 1.601358006130752e+02, -6.935565501069552e+00, -1.345451739229545e+00, 7.281693436766730e-04, 7.743298438441808e-01, -9.046006431065071e-02
577, 1.180616549097611e-01, 1.636845769903239e+02, -7.011441688178207e+00, -1.306632756273661e+00, 7.372154068851967e-04, 7.610077150197835e-01, -9.466978688949318e-02
576, 1.352471978296038e-01, 1.669583018702795e+02, -7.085171616384913e+00, -1.252222248432351e+00, 7.506820561749029e-04, 7.473953596122606e-01, -9.884060121810900e-02
575, 9.666206461773180e-02, 1.711583212841925e+02, -7.173002306385491e+00, -1.208376673915411e+00, 7.607696017616840e-04, 7.335206854829130e-01, -1.029535558860237e-01
574, 1.248224792049428e-01, 1.748441448417716e+02, -7.251744248865859e+00, -1.146917098249391e+00, 7.757936685450095e-04, 7.193921869180818e-01, -1.069958807641499e-01
569, 7.377608654314696e-02, 1.794357480093575e+02, -7.342135501778452e+00, -1.094420519791057e+00, 7.867919196784837e-04, 7.050082799618819e-01, -1.109575061185475e-01
568, 1.298020272754437e-01, 1.830097708100669e+02, -7.412938887075336e+00, -1.024205919866517e+00, 8.013262929530856e-04, 6.903975049090465e-01, -1.148203596282169e-01
566, 5.337374809179156e-02, 1.877836759832263e+02, -7.500560203532131e+00, -9.633298977973112e-01, 8.123974531981162e-04, 6.755695490162060e-01, -1.185749310438978e-01
565, 1.291960815425063e-01, 1.913432608256603e+02, -7.564462164488326e+00, -8.888734731636794e-01, 8.263995384025106e-04, 6.605348555915000e-01, -1.222138291368470e-01
564, 3.988472966323051e-02, 1.963110827591175e+02, -7.649155564883046e+00, -8.232870508182337e-01, 8.377038963463454e-04, 6.453141758394891e-01, -1.257278318776100e-01
563, 1.244272951869846e-01, 2.000038654229256e+02, -7.709581806230799e+00, -7.455936640899203e-01, 8.520176453697210e-04, 6.299284279037715e-01, -1.291085931395241e-01
562, 3.221374353951140e-02, 2.052513142711069e+02, -7.793168367516555e+00, -6.764970646601565e-01, 8.639434585986426e-04, 6.143888443847303e-01, -1.323506442315056e-01
561, 1.198793497148748e-01, 2.093093203157005e+02, -7.854429027766566e+00, -5.964738205458889e-01, 8.791201630798778e-04, 5.987067674368181e-01, -1.354489661389754e-01
560, 2.714076925132319e-02, 2.150421189689170e+02, -7.940882805827684e+00, -5.208024504693919e-01, 8.926022999630435e-04, 5.829036256135732e-01, -1.383947280936979e-01
559, 1.103439632906058e-01, 2.195512370793542e+02, -8.005484922307225e+00, -4.310988166255247e-01, 9.093405733829619e-04, 5.669902863080678e-01, -1.411739979915255e-01
555, 3.070832415173281e-02, 2.253649877628908e+02, -8.090246770734838e+00, -3.392365601713299e-01, 9.243728053226887e-04, 5.509981481232903e-01, -1.437683220023802e-01
554, 1.006087414788996e-01, 2.299824103636950e+02, -8.153113883367400e+00, -2.361707083724107e-01, 9.410314325651396e-04, 5.349280422289686e-01, -1.461649196884494e-01
549, 2.809912019832360e-02, 2.355660156157601e+02, -8.225664714796752e+00, -1.278111493226704e-01, 9.556064542422288e-04, 5.188115378527824e-01, -1.483468667726707e-01
548, 8.650152395039332e-02, 2.398002341322028e+02, -8.269718819848798e+00, -1.081942280822679e-02, 9.695777359180669e-04, 5.026497511328263e-01, -1.503023061757285e-01
547, 3.971543118343143e-02, 2.442031353497958e+02, -8.313579351882039e+00, 1.126321252865881e-01, 9.815788577147429e-04, 4.864746862420334e-01, -1.520179299057171e-01
546, 6.841748961456560e-02, 2.477925815525792e+02, -8.344369759588970e+00, 2.331353383771751e-01, 9.926155590106629e-04, 4.702995377529798e-01, -1.534946763710580e-01
543, 4.954038656001505e-02, 2.516185568275882e+02, -8.380185415585887e+00, 3.564091932934830e-01, 1.004385165225578e-03, 4.541381176622994e-01, -1.547383830397680e-01
542, 2.867623613835663e-02, 2.557467332391858e+02, -8.419852522904943e+00, 4.706494234602326e-01, 1.016125885372261e-03, 4.380247555402706e-01, -1.557542545000129e-01
142, -4.142972449588196e-01, 5.472925403871668e+02, -7.665689572240631e+00, 7.845680862881668e+00, 2.121466632125983e-03, 2.196161454589945e-02, -7.284655033914589e-02
141, -4.442894223866958e-01, 5.681359475405191e+02, -7.466986795885842e+00, 8.275244742716291e+00, 2.204480069727583e-03, 1.843144503504924e-02, -6.965269331080645e-02
140, -4.267990940872418e-01, 5.869599979779323e+02, -7.203237469947342e+00, 8.710061127298946e+00, 2.280133865578648e-03, 1.529737814623708e-02, -6.654752488903223e-02
139, -3.706092096451793e-01, 6.037453573434065e+02, -6.889555724745485e+00, 9.131723751906824e+00, 2.346837284564370e-03, 1.251908921820435e-02, -6.352182316784899e-02
138, -4.365883845076793e-01, 6.215205052378823e+02, -6.547642906734678e+00, 9.553579564691184e+00, 2.411722348866946e-03, 1.006239962634175e-02, -6.057552718156930e-02
137, -3.082523048865113e-01, 6.388498484331240e+02, -6.147190020273899e+00, 9.982000143477642e+00, 2.483391695840025e-03, 7.917903259379869e-03, -5.772271528435141e-02
95, -7.961006413670776e-01, 6.548248539224118e+02, -5.689519700540673e+00, 1.039189557909854e+01, 2.546160382903571e-03, 6.075661641799378e-03, -5.497537046649012e-02
94, -2.051019023517481e-02, 6.626585033397508e+02, -5.090465065996634e+00, 1.074979241346356e+01, 2.606690533727557e-03, 4.487485890136537e-03, -5.228092888223307e-02
59, -1.679519593674735e+00, 6.828175266136914e+02, -4.617076541792167e+00, 1.111615169637827e+01, 2.640814955343904e-03, 3.124498051550219e-03, -4.958983394217520e-02
60, -1.563494834124217e+00, 7.066455825085785e+02, -4.165285474922554e+00, 1.147867451063332e+01, 2.779154312610114e-03, 2.537646184044878e-03, -4.826432014613557e-02
61, 2.663491172499823e-01, 6.934873579700416e+02, -3.493841054396546e+00, 1.158059131412262e+01, 2.746306351183401e-03, 2.003080565366857e-03, -4.692570645177865e-02
100, -1.914534025820597e-01, 6.823446494526025e+02, -2.730405254496301e+00, 1.170078024774298e+01, 2.660595434708429e-03, 1.078855380144595e-03, -4.412468306450189e-02
158, -3.759861515483056e-01, 6.701757222362471e+02, -1.607467133960001e+00, 1.182675149233394e+01, 2.680558827016991e-03, 4.060150173504681e-04, -4.120091157440327e-02
217, 5.078147404233749e-01, 6.246211749905284e+02, -3.105826851698858e-01, 1.157088632735017e+01, 2.553618186894810e-03, 3.518008537548110e-05, -3.808491766816596e-02
282, 2.789369354290293e-01, 5.487648997609427e+02, 1.046806170530374e+00, 1.087023277847926e+01, 2.334304847046823e-03, 6.353361456930447e-05, -3.468781955477407e-02
345, 6.163447455620109e-01, 4.500356868413342e+02, 2.198443183913539e+00, 9.748796693299340e+00, 2.014044882497974e-03, 6.108891382802526e-04, -3.099566192038775e-02
346, 4.989604636380478e-01, 3.487344848112914e+02, 3.019191196322247e+00, 8.417798517694800e+00, 1.666676783110286e-03, 1.772810715458482e-03, -2.702931890971065e-02
418, 3.430898816984996e-01, 2.558201862984690e+02, 3.520233388847517e+00, 7.026751354653667e+00, 1.349124628237238e-03, 3.645682386023376e-03, -2.286167023702751e-02
497, 2.805953251727534e-01, 1.744728521555844e+02, 3.730959777616528e+00, 5.651070163783999e+00, 1.071841284604297e-03, 6.317071397390414e-03, -1.862773567047672e-02
645, 1.367988317757584e-01, 1.055102641901395e+02, 3.676386646014895e+00, 4.310398029604388e+00, 8.384795971964026e-04, 9.835137844882587e-03, -1.455581405413806e-02
789, 8.410186240475731e-02, 4.864384115257749e+01, 3.313568180423269e+00, 3.072192957111251e+00, 6.433958436174372e-04, 1.424138035236019e-02, -1.092212627558249e-02
936, 4.976009175147719e-02, 7.584778385544780e+00, 2.701450182055936e+00, 2.142468363039775e+00, 4.838568194052554e-04, 1.948043821382322e-02, -7.946414249478510e-03
