"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
93, 1.000000000000000e+00, -1.000000000000000e-03, 9.722083747538043e+03, -1.327958054055176e+01, 0.000000000000000e+00, 0.000000000000000e+00
70, 9.997621355856203e-01, -1.104660122333836e-03, 1.122768050032032e+04, 1.105163409960041e+00, 0.000000000000000e+00, 0.000000000000000e+00
108, 9.990485012488061e-01, -1.418583838664146e-03, 1.098056311088364e+04, -1.255840867046135e+00, 0.000000000000000e+00, 0.000000000000000e+00
168, 9.978686702132833e-01, -1.936829233932932e-03, 1.108773140682414e+04, -2.319355657973164e-01, 0.000000000000000e+00, 0.000000000000000e+00
226, 9.962132437955421e-01, -2.660757169837098e-03, 1.108427816593444e+04, -2.649284544349383e-01, 0.000000000000000e+00, 0.000000000000000e+00
290, 9.940822606931574e-01, -3.583746426527226e-03, 1.109658738600354e+04, -1.473239374238398e-01, 0.000000000000000e+00, 0.000000000000000e+00
359, 9.914853571674017e-01, -4.690028386110197e-03, 1.110006801057697e+04, -1.140694201142496e-01, 0.000000000000000e+00, 0.000000000000000e+00
394, 9.884321728242919e-01, -5.959595341382372e-03, 1.110254576706232e+04, -9.039648607817970e-02, 0.000000000000000e+00, 0.000000000000000e+00
395, 9.849038280601278e-01, -7.382695349706529e-03, 1.110381403172455e+04, -7.827925588758797e-02, 0.000000000000000e+00, 0.000000000000000e+00
396, 9.809288756219902e-01, -8.934047145854796e-03, 1.110475578324923e+04, -6.928159132539970e-02, 0.000000000000000e+00, 0.000000000000000e+00
470, 9.764883938926089e-01, -1.061685302502784e-02, 1.110558181656968e+04, -6.138951943601655e-02, 0.000000000000000e+00, 0.000000000000000e+00
471, 9.716109697805432e-01, -1.242900103975407e-02, 1.110627628248070e+04, -5.475446639552912e-02, 0.000000000000000e+00, 0.000000000000000e+00
516, 9.662775255275239e-01, -1.439808466056109e-02, 1.110667173952793e+04, -5.097619817241324e-02, 0.000000000000000e+00, 0.000000000000000e+00
521, 9.605069335344338e-01, -1.654333610260337e-02, 1.110658045525827e+04, -5.184834461093700e-02, 0.000000000000000e+00, 0.000000000000000e+00
537, 9.542990465612926e-01, -1.888848800623789e-02, 1.110587281860691e+04, -5.860923328912404e-02, 0.000000000000000e+00, 0.000000000000000e+00
469, 9.922119222715451e-01, -2.789609165182238e-03, 1.118665251897016e+04, 7.131746484024040e-01, 0.000000000000000e+00, 0.000000000000000e+00
393, 9.948726051760148e-01, -1.865468307314145e-03, 1.115957671935007e+04, 4.544875570077614e-01, 0.000000000000000e+00, 0.000000000000000e+00
