"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"
0	1.002195622558829e+00	-1.378743631837570e-03	1.290292814399367e-01	4.094893639287768e-01	1.902923296076856e+00	2.782253023612679e+04	1.112313932112726e+04	3.003097576745646e+02	1.063580577316211e-01	4.342390891550894e-02	1.847381574187834e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1	1.002629419356964e+00	-1.008477497495079e-03	1.289891280873274e-01	2.864406217054045e-01	1.575486941051061e+00	2.781294717683625e+04	1.112120302041408e+04	3.003509480791967e+02	8.785829016843398e-02	3.573222934966553e-02	1.847576371863846e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
2	1.002274218593298e+00	-1.694428231230330e-03	1.288781214858106e-01	5.578317471181591e-01	1.891963658826424e+00	2.778983454608722e+04	1.110989601667372e+04	3.003040174807535e+02	-2.017087059581419e-02	4.405603536766672e-02	1.847354426628582e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
3	1.001789237150487e+00	-1.604378011677123e-03	1.288332515785015e-01	5.020842532399570e-01	2.387570161722753e+00	2.778235024831216e+04	1.110369934850694e+04	3.002410507989321e+02	-7.937496011100097e-02	5.451810691874545e-02	1.847056616660616e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
4	1.002435103662586e+00	-2.094466950283100e-03	1.288992890265511e-01	7.438081672255397e-01	1.852348434927159e+00	2.779463882309094e+04	1.111167326811748e+04	3.003027340370634e+02	-3.190688547153558e-03	4.457639315077657e-02	1.847348356700782e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
5	1.002626999635355e+00	-2.599114805611044e-03	1.289057672242550e-01	1.010875361663383e+00	1.807539852933282e+00	2.779668749547334e+04	1.111202041723595e+04	3.002970237722469e+02	1.260369788435271e-04	4.624713413130931e-02	1.847321350380272e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
6	1.002751078502433e+00	-1.563337955531463e-03	1.288413301578620e-01	6.115294256963377e-01	1.645549515739408e+00	2.778116541172318e+04	1.110768229379401e+04	3.003299161727605e+02	-4.132117976271844e-02	3.921922296727384e-02	1.847476909389740e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
7	1.003190517849218e+00	-1.168082885179951e-03	1.289063168706659e-01	5.310131473341443e-01	1.499820835244975e+00	2.779480431552309e+04	1.111399416460957e+04	3.003490826782846e+02	1.898357671522005e-02	3.552608943055185e-02	1.847567550290386e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
8	1.003036011651022e+00	-2.122422153997237e-03	1.289105856113001e-01	8.419217916378436e-01	1.667972074215970e+00	2.779656487852829e+04	1.111320985136484e+04	3.003179420321117e+02	1.149010598240707e-02	4.172002555188860e-02	1.847420280689910e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
9	1.003160137316472e+00	-7.673408842448506e-04	1.288781911871695e-01	2.431068869527777e-01	1.448388068106992e+00	2.778851605671079e+04	1.111205918614344e+04	3.003623261930406e+02	4.964421397443403e-04	3.279947658977522e-02	1.847630178951152e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
