"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Surface_Sensitivity"	"Solution_Sensor"
0	1.002198708156028e+00	-1.282514489768029e-03	-2.209352542106609e+01	1.222840467744924e+00	1.099454509433641e+00	-1.385349039364922e-04	0.000000000000000e+00	0.000000000000000e+00	
1	1.002611018249458e+00	-8.932373748929906e-04	-1.842571216935317e+01	1.055363121392711e+00	1.089520587239298e+00	-1.425128336221886e-04	0.000000000000000e+00	0.000000000000000e+00	
2	1.002291477145970e+00	-1.592869869462009e-03	-2.276836588274909e+01	1.339374637145337e+00	1.050811849320937e+00	-1.359785775424253e-04	0.000000000000000e+00	0.000000000000000e+00	
3	1.001805011121819e+00	-1.525938364182301e-03	-2.608891662645920e+01	1.378579751225181e+00	1.057430395464271e+00	-1.292638534656673e-04	0.000000000000000e+00	0.000000000000000e+00	
4	1.002470452896099e+00	-1.983985804163974e-03	-2.160186836161898e+01	1.391937069073155e+00	9.817093309929906e-01	-1.351898425584290e-04	0.000000000000000e+00	0.000000000000000e+00	
5	1.002686080985532e+00	-2.478811347923343e-03	-2.049486601826115e+01	1.439018273123011e+00	8.893951581834543e-01	-1.299278328046810e-04	0.000000000000000e+00	0.000000000000000e+00	
6	1.002759307830878e+00	-1.438835209459543e-03	-1.948088650781592e+01	1.228165727139328e+00	1.036660922861263e+00	-1.385500750523014e-04	0.000000000000000e+00	0.000000000000000e+00	
7	1.003175426222859e+00	-1.022347348684288e-03	-1.708216728859619e+01	1.086300611984505e+00	1.019105921508820e+00	-1.332358208903970e-04	0.000000000000000e+00	0.000000000000000e+00	
8	1.003070838272717e+00	-1.981655344271377e-03	-1.877855745570752e+01	1.315608412916581e+00	9.299848558611170e-01	-1.335823151564549e-04	0.000000000000000e+00	0.000000000000000e+00	
9	1.003124001298349e+00	-6.257719669505403e-04	-1.607512470137779e+01	9.626969225843526e-01	1.031657699866741e+00	-1.476041168119263e-04	0.000000000000000e+00	0.000000000000000e+00	
10	1.002157677191926e+00	-9.405711373874597e-04	-2.150976553697404e+01	1.097324523242705e+00	1.137380832306949e+00	-1.444033174116685e-04	0.000000000000000e+00	0.000000000000000e+00	
11	1.001764302027105e+00	-1.147576562364959e-03	-2.553679850404048e+01	1.226148947603175e+00	1.114469207017211e+00	-1.357930062768013e-04	0.000000000000000e+00	0.000000000000000e+00	
