"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
93, 1.000000000000000e+00, -1.000000000000000e-03, 9.694868778504740e+03, -1.353959728171551e+01, 0.000000000000000e+00, 0.000000000000000e+00
70, 9.997621355856203e-01, -1.104658144345963e-03, 1.121785300100699e+04, 1.011269702342279e+00, 0.000000000000000e+00, 0.000000000000000e+00
108, 9.990485012488061e-01, -1.418458824362642e-03, 1.097589822499752e+04, -1.300410031336687e+00, 0.000000000000000e+00, 0.000000000000000e+00
168, 9.978686702132833e-01, -1.935455541336549e-03, 1.108429508193889e+04, -2.647668358659734e-01, 0.000000000000000e+00, 0.000000000000000e+00
226, 9.962132437955421e-01, -2.653316923304295e-03, 1.108105290645970e+04, -2.957431673601253e-01, 0.000000000000000e+00, 0.000000000000000e+00
290, 9.940822606931574e-01, -3.556737843575781e-03, 1.109315970936377e+04, -1.800725805894533e-01, 0.000000000000000e+00, 0.000000000000000e+00
359, 9.914853571674017e-01, -4.614879167550128e-03, 1.109627506519102e+04, -1.503079070094618e-01, 0.000000000000000e+00, 0.000000000000000e+00
394, 9.884321728242919e-01, -5.787204496195485e-03, 1.109866968498084e+04, -1.274292760136005e-01, 0.000000000000000e+00, 0.000000000000000e+00
395, 9.849038280601278e-01, -7.040535849333845e-03, 1.110044067913931e+04, -1.105088772013838e-01, 0.000000000000000e+00, 0.000000000000000e+00
396, 9.809288756219902e-01, -8.333280506578512e-03, 1.110269245374023e+04, -8.899501500111925e-02, 0.000000000000000e+00, 0.000000000000000e+00
470, 9.764883938926089e-01, -9.662388316634827e-03, 1.110546159639230e+04, -6.253812477550820e-02, 0.000000000000000e+00, 0.000000000000000e+00
471, 9.716109697805432e-01, -1.104002314359173e-02, 1.110843075515791e+04, -3.417024439000627e-02, 0.000000000000000e+00, 0.000000000000000e+00
516, 9.662775255275239e-01, -1.251966570597269e-02, 1.111103202235496e+04, -9.317266653903766e-03, 0.000000000000000e+00, 0.000000000000000e+00
521, 9.605069335344338e-01, -1.415754584186332e-02, 1.111282101648699e+04, 7.775107164426935e-03, 0.000000000000000e+00, 0.000000000000000e+00
537, 9.542990465612926e-01, -1.600963588830448e-02, 1.111358236935454e+04, 1.504921029692800e-02, 0.000000000000000e+00, 0.000000000000000e+00
469, 9.922119222715451e-01, -2.665158643011763e-03, 1.119588671032137e+04, 8.013997843371543e-01, 0.000000000000000e+00, 0.000000000000000e+00
393, 9.948726051760148e-01, -1.827355525859319e-03, 1.117044908864068e+04, 5.583641415526209e-01, 0.000000000000000e+00, 0.000000000000000e+00
325, 9.970564384455434e-01, -1.072244129626930e-03, 1.127313528345581e+04, 1.539446637206567e+00, 0.000000000000000e+00, 0.000000000000000e+00
259, 9.987533013274225e-01, -4.581398653495015e-04, 1.095116853317743e+04, -1.536681984068878e+00, 0.000000000000000e+00, 0.000000000000000e+00
196, 9.999628926939207e-01, -1.365580624914034e-05, 1.486028217027562e+04, 3.581169741379984e+01, 0.000000000000000e+00, 0.000000000000000e+00
135, 1.000000000000000e+00, 0.000000000000000e+00, 1.436102745118193e+04, 3.104172744210846e+01, 0.000000000000000e+00, 0.000000000000000e+00
538, 9.476630050780430e-01, -1.810766648704850e-02, 1.111332282076086e+04, 1.256943604399191e-02, 0.000000000000000e+00, 0.000000000000000e+00
541, 9.406073032709968e-01, -2.045431248815767e-02, 1.111227680855605e+04, 2.575646068429486e-03, 0.000000000000000e+00, 0.000000000000000e+00
544, 9.331391429429394e-01, -2.302725885228249e-02, 1.111075316702593e+04, -1.198150095163074e-02, 0.000000000000000e+00, 0.000000000000000e+00
