VARIABLES="VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
          0               , -1.63631        , 0.001           
          1               , -1.47245        , 0.001           
          2               , -1.24316        , 0.001           
          3               , -1.01078        , 0.001           
          4               , -0.794219       , 0.001           
          5               , -0.600433       , 0.001           
          6               , -0.431593       , 0.001           
          7               , -0.28754        , 0.001           
          8               , -0.166883       , 0.001           
          9               , -0.0675375      , 0.001           
          10              , 0.0130226       , 0.001           
          11              , 0.0776797       , 0.001           
          12              , 0.129649        , 0.001           
          13              , 0.172253        , 0.001           
          14              , 0.207878        , 0.001           
          15              , 0.234728        , 0.001           
          16              , 0.239899        , 0.001           
          17              , 0.200571        , 0.001           
          18              , 0.179571        , 0.001           
          19              , -0.28694        , 0.001           
          20              , -0.222337       , 0.001           
          21              , -0.174802       , 0.001           
          22              , -0.14457        , 0.001           
          23              , -0.126411       , 0.001           
          24              , -0.115921       , 0.001           
          25              , -0.110284       , 0.001           
          26              , -0.107994       , 0.001           
          27              , -0.108388       , 0.001           
          28              , -0.111255       , 0.001           
          29              , -0.116593       , 0.001           
          30              , -0.124561       , 0.001           
          31              , -0.135614       , 0.001           
          32              , -0.15082        , 0.001           
          33              , -0.172363       , 0.001           
          34              , -0.203984       , 0.001           
          35              , -0.249951       , 0.001           
          36              , -0.308495       , 0.001           
          37              , -0.382277       , 0.001           
