"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
573, -1.508203958348384e-02, -6.253417941530746e+00, 6.220536433081513e-01, -3.931874081407996e-01, -2.257730677435372e-05, 8.000811995613997e-01, -8.120405294284785e-02
578, -9.874441064298217e-03, -6.202170255566728e+00, 6.329505769157805e-01, -3.862789127380244e-01, -2.298264981390321e-05, 7.873537456814902e-01, -8.549858942384138e-02
579, -1.290863669695012e-02, -6.145966075599521e+00, 6.429055443937706e-01, -3.807640132097636e-01, -2.355387362340310e-05, 7.743298438441808e-01, -8.978948887152655e-02
577, -7.334600098268193e-03, -6.149346609612683e+00, 6.532181223622106e-01, -3.738061793149671e-01, -2.373540378685469e-05, 7.610077150197835e-01, -9.406747777501355e-02
576, -1.086309541963324e-02, -6.086380053338072e+00, 6.629112351152240e-01, -3.690037338577379e-01, -2.459114510233114e-05, 7.473953596122606e-01, -9.831972596490778e-02
575, -4.899810006818201e-03, -6.173192638146050e+00, 6.749734283940041e-01, -3.617554677479766e-01, -2.484508153870737e-05, 7.335206854829130e-01, -1.025272610807828e-01
574, -9.764126485175498e-03, -6.175778404264735e+00, 6.856402336002567e-01, -3.568157092492301e-01, -2.592084324157261e-05, 7.193921869180818e-01, -1.066773152763145e-01
569, -2.381176467491337e-03, -6.342242899610752e+00, 6.985820964946489e-01, -3.495901113071153e-01, -2.629468759422955e-05, 7.050082799618819e-01, -1.107598425729038e-01
568, -1.172836771296052e-02, -6.360937743254508e+00, 7.087791484647198e-01, -3.447657512025294e-01, -2.731415520905276e-05, 6.903975049090465e-01, -1.147564709760203e-01
566, 1.078982972377656e-04, -6.592156071374925e+00, 7.222015319158697e-01, -3.380786740350717e-01, -2.777576567307344e-05, 6.755695490162060e-01, -1.186574593076492e-01
565, -1.181403903487894e-02, -6.638492362058253e+00, 7.321631120490171e-01, -3.335573799425470e-01, -2.876936690660409e-05, 6.605348555915000e-01, -1.224551105000392e-01
564, 1.542902437038288e-03, -6.910294476234856e+00, 7.456221555938641e-01, -3.274807551460017e-01, -2.926923890250574e-05, 6.453141758394891e-01, -1.261397096631241e-01
563, -1.136439679457316e-02, -6.978767751005176e+00, 7.553591054144094e-01, -3.234151386006527e-01, -3.026743886261888e-05, 6.299284279037715e-01, -1.297023232597213e-01
562, 2.528263057392263e-03, -7.272263623233343e+00, 7.685438173929354e-01, -3.179807113387123e-01, -3.078671864880706e-05, 6.143888443847303e-01, -1.331369289768896e-01
561, -9.881924346382047e-03, -7.353025524611679e+00, 7.779152042884501e-01, -3.143570895567878e-01, -3.177708605590853e-05, 5.987067674368181e-01, -1.364378879257814e-01
560, 3.201434667050214e-03, -7.649514267329120e+00, 7.905040932091263e-01, -3.095816303591562e-01, -3.231438094175448e-05, 5.829036256135732e-01, -1.395955473027298e-01
559, -8.823122599195713e-03, -7.741712891564299e+00, 7.994998681487331e-01, -3.061175407820574e-01, -3.327258722892136e-05, 5.669902863080678e-01, -1.425952204439945e-01
555, 2.148486853749649e-03, -8.025406669416702e+00, 8.115712690432723e-01, -3.019558274571776e-01, -3.393222751766319e-05, 5.509981481232903e-01, -1.454173430120061e-01
554, -6.677984983931304e-03, -8.164598649351952e+00, 8.210395461334365e-01, -2.984150177401128e-01, -3.488465090192010e-05, 5.349280422289686e-01, -1.480483895534045e-01
549, 2.495375970823133e-03, -8.473690888975890e+00, 8.324592927232706e-01, -2.947221440733844e-01, -3.561422246101265e-05, 5.188115378527824e-01, -1.504701885218183e-01
548, -5.698524692200921e-03, -8.656534726368376e+00, 8.408885125681618e-01, -2.912602888505189e-01, -3.637035758622402e-05, 5.026497511328263e-01, -1.526700282771712e-01
547, 8.478449169117831e-04, -8.916577237572115e+00, 8.502601759244901e-01, -2.883844443352005e-01, -3.708913731161704e-05, 4.864746862420334e-01, -1.546332324366351e-01
546, -2.478582608122747e-03, -9.112113534663729e+00, 8.588127112094218e-01, -2.855637336580575e-01, -3.791171148459720e-05, 4.702995377529798e-01, -1.563596075250480e-01
543, 1.372126295376312e-03, -9.377680619668592e+00, 8.689339253892729e-01, -2.836980803210354e-01, -3.898885560756334e-05, 4.541381176622994e-01, -1.578538122439123e-01
542, 3.306585253298500e-03, -9.697045550712758e+00, 8.800480038788315e-01, -2.814094128854219e-01, -4.013739619431514e-05, 4.380247555402706e-01, -1.591195210206800e-01
142, 1.045380094676921e-01, -2.294198328067838e+01, 1.108517429976105e+00, -4.106237429493690e-01, -1.375386268081513e-04, 2.196161454589945e-02, -7.602450110428409e-02
141, 9.591340267900311e-02, -2.302099897542793e+01, 1.101419396525274e+00, -4.157541696013522e-01, -1.407216102777782e-04, 1.843144503504924e-02, -7.254755375010667e-02
140, 1.081242771274875e-01, -2.311498784518502e+01, 1.093790415616282e+00, -4.200375793662781e-01, -1.432055266200004e-04, 1.529737814623708e-02, -6.916094743663660e-02
139, 9.956259297006703e-02, -2.299760411754588e+01, 1.083216968611901e+00, -4.230200475345937e-01, -1.454839369389404e-04, 1.251908921820435e-02, -6.585571663495403e-02
138, 1.081235174256171e-01, -2.306581148606062e+01, 1.074864056292010e+00, -4.257485759627906e-01, -1.468875596023810e-04, 1.006239962634175e-02, -6.263190069852384e-02
137, 9.308233369270159e-02, -2.263040147290766e+01, 1.062647130876696e+00, -4.265590551701129e-01, -1.491828988676361e-04, 7.917903259379869e-03, -5.950614865110650e-02
95, 7.453448448948889e-02, -2.267602837815424e+01, 1.052693672241153e+00, -4.258494676079086e-01, -1.489302302559788e-04, 6.075661641799378e-03, -5.649344429242125e-02
94, 8.440540014835020e-02, -2.189258877393326e+01, 1.034688776602876e+00, -4.152992118061785e-01, -1.482580843134386e-04, 4.487485890136537e-03, -5.353819657972634e-02
59, 2.235569274768064e-01, -2.152153483885144e+01, 1.023818563095549e+00, -4.135499723917321e-01, -1.479417018213634e-04, 3.124498051550219e-03, -5.058856178008488e-02
60, 1.266166520650776e-01, -2.210702980303146e+01, 1.017769435700167e+00, -4.216429936219817e-01, -1.521850921072177e-04, 2.537646184044878e-03, -4.913743871119854e-02
61, 1.977151733836111e-01, -2.244612287186056e+01, 1.010749787241408e+00, -4.214896211868264e-01, -1.524449677178623e-04, 2.003080565366857e-03, -4.767385651319102e-02
100, -3.732757535845563e-02, -2.145152547304948e+01, 9.985211210064121e-01, -4.077297638087108e-01, -1.498395401372311e-04, 1.078855380144595e-03, -4.462072671589869e-02
158, 1.890131444064734e-02, -2.034237329389695e+01, 9.831598062280567e-01, -3.944641523419606e-01, -1.468154414742345e-04, 4.060150173504681e-04, -4.145630687563961e-02
